probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
slay06m	357	1080	0.2326	1.0000	0.0004	3.3553	0.0004	4.1841	0.0006	3.3483	0.0013	4.0246	0.0003	1.7525	0.0003	1.7525	0.0002	1.7525	0.0002	1.7525	0.0006	1.8745	0.0000	1.0000	0.0003	1.7525	0.0006	1.3056
sssd25-08	401	1200	0.2578	1.0000	0.0005	1.4628	0.0005	1.7526	0.0014	1.5296	0.0015	1.5296	0.0003	1.5335	0.0004	1.3279	0.0003	1.7076	0.0003	1.8040	0.0005	2.2511	0.0003	1.5793	0.0003	1.5793	0.0005	1.2999
rsyn0810m04m	4772	13836	0.5501	0.7829	0.0085	1.3599	0.0084	1.6717	0.0303	1.9273	0.0381	1.9507	0.0100	1.9404	0.0102	2.0439	0.0101	2.1881	0.0091	2.1381	0.0114	2.0117	0.0071	1.5606	0.0104	1.9552	0.0140	2.5619
sporttournament48	1131	6676	0.5587	0.6461	0.0057	1.8356	0.0056	1.6963	0.0113	1.7043	0.0167	1.8273	0.0029	1.5190	0.0031	1.5757	0.0029	1.6418	0.0032	1.4306	0.0044	1.6301	0.0021	1.7430	0.0031	1.4731	0.0014	1.0000
edgecross10-090	1053	5204	0.2960	0.8181	0.0021	2.0038	0.0021	2.0542	0.0063	2.7182	0.0060	1.7850	0.0012	1.7837	0.0012	1.9673	0.0012	1.7374	0.0012	1.7374	0.0013	1.9544	0.0012	1.9274	0.0012	1.9274	0.0020	1.8276
st_bpaf1a	30	120	0.1730	0.9310	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
risk2bpb	1462	5396	0.4420	0.5574	0.0030	1.5931	0.0029	1.6207	0.0060	1.6758	0.0059	1.8691	0.0018	1.3498	0.0018	1.1678	0.0015	1.4548	0.0015	1.4630	0.0022	1.9332	0.0013	1.7251	0.0016	1.6653	0.0031	2.2199
qap	255	43748	0.1414	0.9605	0.0073	1.0000	0.0071	1.0000	0.0086	1.0000	0.0089	1.0000	0.0022	1.2293	0.0022	1.0000	0.0025	1.0000	0.0024	1.0000	0.0022	1.0000	0.0002	1.0000	0.0000	1.0077	0.0021	1.0000
rsyn0830m04m	7252	20752	0.5028	0.8100	0.0131	1.7711	0.0127	1.7753	0.0437	1.9212	0.0650	2.0221	0.0154	2.1055	0.0150	2.0896	0.0138	2.2051	0.0147	2.2351	0.0170	2.1883	0.0106	1.5449	0.0154	1.6496	0.0209	2.4639
lop97icx	1073	2118	0.2690	0.8078	0.0013	1.0964	0.0013	1.3812	0.0017	1.3314	0.0022	1.4311	0.0009	1.1308	0.0009	1.1308	0.0009	1.2462	0.0009	1.2428	0.0013	1.1224	0.0005	1.0000	0.0009	1.1308	0.0014	1.2475
