    Finished `release` profile [optimized] target(s) in 0.02s
     Running `target/release/matrices-fast --note 'iter16 terminal rgreedy ladder, two 2e8 draws (seeds 0x9E37/0xD1B5), gate n<=12000, strict accept; 0166 ladder priced 19 movers / -2.51 dev bips (probe SCORE 0.792188) at mean +0.080 s and worst affected-row +0.196 s'`
matrix                              n     nnz(A)    flops(base)   flops(yours)    ratio      time
slay06m                           357       1080           4025           4025    1.000  (capped)
sssd25-08                         401       1200           5389           5389    1.000  (capped)
rsyn0810m04m                     4772      13836         147553         115517    0.783  (capped)
pooling_sppc3pq                 23173     893724     1153877333      325595394    0.282  (capped)
sporttournament48                1131       6676         919582         594138    0.646  (capped)
pooling_sppa9pq                  5030     120730       23971280       15130622    0.631  (capped)
edgecross10-090                  1053       5204         126115         103179    0.818  (capped)
maxcsp-ehi-85-297-71             2372     207996     1381768944     1110971341    0.804  (capped)
st_bpaf1a                          30        120            623            580    0.931  (capped)
risk2bpb                         1462       5396         118471          66041    0.557  (capped)
qap                               255      43748        3802533        3650113    0.960  (capped)
rsyn0830m04m                     7252      20752         212130         171801    0.810  (capped)
lop97icx                         1073       2118          79286          64044    0.808  (capped)
chain400                         1201       4796          16382          16382    1.000  (capped)
mpbp_07                          9532      30810        1368477        1248947    0.913  (capped)
sonetgr17                         440       2958          37814          30971    0.819  (capped)
p_ball_30b_7p_2d_h               2207       7516          42456          42319    0.997  (capped)
pinene200                       19995      97990        1358716        1134463    0.835  (capped)
unitcommit_200_100_1_mod_8     146830     476332        3053940        2981835    0.976  (capped)
ex8_3_9                           123        834          15050          11503    0.764  (capped)
rsyn0820m02m                     2486       6932          38190          35665    0.934  (capped)
p_ball_10b_5p_2d_m                293        964           6648           6547    0.985  (capped)
pooling_adhya4tp                  170        936          26842          20581    0.767  (capped)
squfl015-080persp                7295      21600          74520          74520    1.000  (capped)
edgecross10-080                  1053       5940         170814         164639    0.964  (capped)
clay0204hfsg                      590       1696           7198           6562    0.912  (capped)
st_bsj2                            13         40            143            114    0.797  (capped)
chimera_mgw-c8-439-onc8-002       440       3038          97870          86464    0.883  (capped)
batchs201210m                    5188      17910         349298         303381    0.869  (capped)
rsyn0815m04m                     5456      15756         184352         144170    0.782  (capped)
syn40m                            560       1528           5007           4829    0.964  (capped)
knp5-44                          2157      32604        3764003        3764003    1.000  (capped)
ex1263a                            94        390           2098           2098    1.000  (capped)
st_e41                              8         32             88             88    1.000  (capped)
squfl025-030                     2305       6000          42305          42305    1.000  (capped)
wastewater05m1                     98        536          11690           8005    0.685  (capped)
cvxnonsep_psig20                   20        380           2870           2870    1.000  (capped)
meanvar-orl400_05_e_8            4405     171604       21923414       21922611    1.000  (capped)
st_e31                            301        744           4534           4257    0.939  (capped)
pooling_sppc1pq                 14100     477680      812210652      136686008    0.168  (capped)
pooling_haverly1pq                 31         96            412            403    0.978  (capped)
graphpart_3g-0244-0244            128        672          33446          32534    0.973  (capped)
graphpart_clique-20                80       1260          34885          27856    0.799  (capped)
mpbp_48                         28368      91016       33835023       16144599    0.477  (capped)

RUN FAILED: pooling_sppb5pq: order() exceeded the 2.0s per-matrix cap and was killed (took ≥ 2.0s). Your ordering must return within 2s on every matrix. This matrix is n=18529, nnz=674470, nnz/n≈36 — if it is dense, the cost is in order() itself; gate expensive paths by BOTH n and nnz.
