probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_timing_and_score ... COUNTS	st_bpaf1a	30	120	623	580
COUNTS	st_bsj2	13	40	143	114
COUNTS	ex1263a	94	390	2098	2098
COUNTS	st_e41	8	32	88	88
COUNTS	wastewater05m1	98	536	11690	8005
COUNTS	cvxnonsep_psig20	20	380	2870	2870
COUNTS	pooling_haverly1pq	31	96	412	403
COUNTS	graphpart_clique-20	80	1260	34885	27856
COUNTS	nvs19	24	200	1353	884
COUNTS	st_ph13	23	68	207	178
COUNTS	ex1223b	25	66	178	178
COUNTS	autocorr_bern40-30	43	1534	20034	20034
COUNTS	st_ph1	16	58	274	233
COUNTS	ex3_1_3	18	36	90	83
COUNTS	prolog	64	292	1245	1225
COUNTS	ex14_1_8	11	30	80	80
COUNTS	st_qpk3	55	548	5467	3762
COUNTS	cvxnonsep_normcon20r	82	162	325	325
COUNTS	cvxnonsep_psig20r	86	170	341	341
COUNTS	st_iqpbk1	22	98	295	295
COUNTS	waterund01	96	404	4546	3317
COUNTS	pointpack04	29	120	577	577
COUNTS	st_e22	12	30	77	70
COUNTS	nvs02	11	46	142	142
COUNTS	st_jcbpaf2	36	246	1635	1543
COUNTS	smallinvDAXr1b010-011	39	1120	13510	13319
COUNTS	ex9_2_4	15	36	117	117
COUNTS	autocorr_bern35-35fix	38	1264	16214	16214
COUNTS	ex2_1_3	31	72	189	189
COUNTS	himmel11	14	60	198	198
COUNTS	tspn08	72	668	11074	7600
COUNTS	st_e24	10	26	64	57
COUNTS	st_glmp_ss1	24	66	160	160
COUNTS	st_rv2	40	340	2045	2045
COUNTS	ex9_2_6	28	68	190	190
COUNTS	st_e25	20	92	336	262
COUNTS	ex8_4_1	32	100	225	225
COUNTS	st_e07	19	60	199	199
COUNTS	ex1225	26	66	171	161
COUNTS	ex5_2_4	18	62	204	193
COUNTS	st_m2	72	1226	16331	16331
COUNTS	st_bpk1	16	44	115	108
COUNTS	ex9_1_2	19	54	188	179
COUNTS	pooling_haverly1tp	31	96	423	403
COUNTS	kall_diffcircles_6	76	302	1511	1511
COUNTS	cvxnonsep_psig30	30	870	9455	9455
COUNTS	ex8_1_7	14	46	137	128
COUNTS	st_ht	8	18	51	44
COUNTS	wastewater02m1	36	138	848	790
COUNTS	ex1223	33	82	244	244
COUNTS	ex6_1_4	10	48	197	153
COUNTS	tln2	32	88	233	233
COUNTS	prob02	22	76	267	232
COUNTS	st_rv9	90	840	6691	6321
COUNTS	nvs05	22	84	277	266
COUNTS	autocorr_bern25-19	28	612	5278	5278
COUNTS	nvs23	27	252	1921	1221
COUNTS	oaer	20	40	107	107
COUNTS	st_miqp2	10	18	37	37
COUNTS	autocorr_bern30-23	33	878	8940	8940
COUNTS	st_pan1	11	32	123	94
COUNTS	st_m1	42	432	3097	3097
COUNTS	st_glmp_ss2	18	48	121	121
COUNTS	pointpack06	55	276	1497	1497
COUNTS	st_test8	64	232	2343	1964
COUNTS	sporttournament08	31	156	862	862
COUNTS	sep1	69	206	1097	1047
COUNTS	st_qpc-m3a	30	304	2330	1574
COUNTS	autocorr_bern20-15	23	394	2784	2784
COUNTS	ex7_2_1	35	134	352	341

--- every order() call, slowest first (TSV) ---
secs	matrix	n	nnz	ratio
0.4320	wastewater05m1	98	536	0.6848
0.4311	st_test8	64	232	0.8382
0.4244	st_rv9	90	840	0.9447
0.4134	waterund01	96	404	0.7297
0.4077	ex9_2_6	28	68	1.0000
0.3904	sep1	69	206	0.9544
0.3900	wastewater02m1	36	138	0.9316
0.3876	sporttournament08	31	156	1.0000
0.3869	graphpart_clique-20	80	1260	0.7985
0.3820	ex7_2_1	35	134	0.9688
0.3805	prolog	64	292	0.9839
0.3763	ex8_4_1	32	100	1.0000
0.3741	ex1223	33	82	1.0000
0.3720	st_rv2	40	340	1.0000
0.3692	pointpack04	29	120	1.0000
0.3660	ex1263a	94	390	1.0000
0.3658	tln2	32	88	1.0000
0.3611	st_m2	72	1226	1.0000
0.3502	tspn08	72	668	0.6863
0.3451	pooling_haverly1tp	31	96	0.9527
0.3430	st_e07	19	60	1.0000
0.3419	pooling_haverly1pq	31	96	0.9782
0.3367	ex1225	26	66	0.9415
0.3352	nvs05	22	84	0.9603
0.3348	ex2_1_3	31	72	1.0000
0.3328	pointpack06	55	276	1.0000
0.3290	ex9_1_2	19	54	0.9521
0.3280	prob02	22	76	0.8689
0.3265	st_m1	42	432	1.0000
0.3217	st_jcbpaf2	36	246	0.9437
0.3205	ex1223b	25	66	1.0000
0.3190	st_glmp_ss2	18	48	1.0000
0.3159	st_bpaf1a	30	120	0.9310
0.3157	ex5_2_4	18	62	0.9461
0.3152	oaer	20	40	1.0000
0.2976	ex6_1_4	10	48	0.7766
0.2960	kall_diffcircles_6	76	302	1.0000
0.2928	st_glmp_ss1	24	66	1.0000
0.2890	st_bpk1	16	44	0.9391
0.2829	st_pan1	11	32	0.7642
0.2754	ex8_1_7	14	46	0.9343
0.2738	ex3_1_3	18	36	0.9222
0.2725	st_ph13	23	68	0.8599
0.2674	ex9_2_4	15	36	1.0000
0.2656	st_ph1	16	58	0.8504
0.2624	st_ht	8	18	0.8627
0.2564	himmel11	14	60	1.0000
0.2521	nvs02	11	46	1.0000
0.2419	ex14_1_8	11	30	1.0000
0.2366	st_bsj2	13	40	0.7972
0.2346	st_qpk3	55	548	0.6881
0.2238	st_e22	12	30	0.9091
0.0000	autocorr_bern35-35fix	38	1264	1.0000
0.0000	smallinvDAXr1b010-011	39	1120	0.9859
0.0000	autocorr_bern40-30	43	1534	1.0000
0.0000	autocorr_bern30-23	33	878	1.0000
0.0000	autocorr_bern25-19	28	612	1.0000
0.0000	cvxnonsep_psig30	30	870	1.0000
0.0000	cvxnonsep_psig20	20	380	1.0000
0.0000	st_qpc-m3a	30	304	0.6755
0.0000	autocorr_bern20-15	23	394	1.0000
0.0000	nvs19	24	200	0.6534
0.0000	nvs23	27	252	0.6356
0.0000	st_iqpbk1	22	98	1.0000
0.0000	st_e25	20	92	0.7798
0.0000	st_e41	8	32	1.0000
0.0000	st_e24	10	26	0.8906
0.0000	cvxnonsep_normcon20r	82	162	1.0000
0.0000	st_miqp2	10	18	1.0000
0.0000	cvxnonsep_psig20r	86	170	1.0000
matrices under 0.010s: 18/70
matrices under 0.050s: 18/70
matrices under 0.100s: 18/70
matrices under 0.200s: 18/70
matrices under 0.400s: 65/70

--- per-bucket ---
lt_1k    count=70    geomean=0.9208
SCORE = 0.920753
WORST order() = 0.432 s
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 163 filtered out; finished in 17.63s

