name	n	nnz	baseline_seconds	new_seconds	baseline_flops	new_flops
random_n2048_links4	2048	16356	0.676885	0.685877	287672073	287672063
random_n2048_links20	2048	81176	0.373211	0.389034	1563953334	1563675011
random_n2048_links40	2048	160592	0.251637	0.269883	2052595742	2052550067
random_n8000_links2	8000	31994	0.803815	0.825033	2313914749	2313914744
random_n8000_links4	8000	63982	0.835352	0.868134	17375182561	17375182205
random_n8000_links8	8000	127850	1.000016	0.986936	46260820576	46260820576
random_n8000_links10	8000	159768	0.548316	0.561175	58257439844	58257439844
random_n12000_links4	12000	95972	0.762877	0.756329	58806390558	58806390558
grid32	1024	3968	0.324345	0.343614	195080	195080
grid64	4096	16128	0.488484	0.516345	1848964	1848950
hub2048	2048	4094	0.000011	0.000010	8189	8189
