name	n	nnz	baseline_seconds	new_seconds	baseline_flops	new_flops	baseline_factor_nnz
random_n2048_links4	2048	16356	0.668244	0.667459	287672073	287672073	479783
random_n2048_links20	2048	81176	0.375938	0.375269	1563953334	1563953334	1436668
random_n2048_links40	2048	160592	0.254756	0.254644	2052595742	2052595742	1712998
random_n8000_links2	8000	31994	0.801296	0.803577	2313914749	2313914749	1914683
random_n8000_links4	8000	63982	0.827709	0.833910	17375182561	17375182561	7147973
random_n8000_links8	8000	127850	0.993691	0.993218	46260820576	46260820576	13603724
random_n8000_links10	8000	159768	0.552342	0.554840	58257439844	58257439844	15844720
random_n12000_links4	12000	95972	0.752055	0.748863	58806390558	58806390558	16028994
grid32	1024	3968	0.326798	0.336923	195080	195080	11000
grid64	4096	16128	0.485714	0.496591	1848964	1848964	58838
hub2048	2048	4094	0.000010	0.000010	8189	8189	4095
