COMPACT_CORE_WORK	357	147	603	8000000	0.002165	4025
COMPACT_ROW	slay06m	357	1080	4025	4025	4025	1113
COMPACT_CORE_WORK	401	345	1237	8000000	0.002018	5389
COMPACT_ROW	sssd25-08	401	1200	5389	5389	5389	1325
COMPACT_CORE_WORK	4772	2612	12756	17011936	0.002936	113458
COMPACT_ROW	rsyn0810m04m	4772	13836	147553	113458	113458	17276
COMPACT_ROW	pooling_sppc3pq	23173	893724	1153877333	325595394	325595394	1305528
COMPACT_ROW	sporttournament48	1131	6676	919582	594138	594138	20480
COMPACT_ROW	pooling_sppa9pq	5030	120730	23971280	15130622	15130622	152488
COMPACT_CORE_WORK	1053	571	4581	8000000	0.001966	103179
COMPACT_ROW	edgecross10-090	1053	5204	126115	103179	103179	5545
COMPACT_ROW	maxcsp-ehi-85-297-71	2372	207996	1381768944	1110971341	1110971341	1294981
COMPACT_ROW	st_bpaf1a	30	120	623	580	580	120
COMPACT_CORE_WORK	1462	628	4711	8000000	0.001809	66041
COMPACT_ROW	risk2bpb	1462	5396	118471	66041	66041	6655
COMPACT_ROW	qap	255	43748	3802533	3650113	3650113	25541
COMPACT_CORE_WORK	7252	3880	18617	35063720	0.007401	171680
COMPACT_ROW	rsyn0830m04m	7252	20752	212130	171680	171680	25680
COMPACT_CORE_WORK	1073	155	2597	8000000	0.001684	64044
COMPACT_ROW	lop97icx	1073	2118	79286	64044	64044	3950
COMPACT_CORE_WORK	1201	800	2796	8000000	0.001777	16382
COMPACT_ROW	chain400	1201	4796	16382	16382	16382	4398
COMPACT_CORE_WORK	9532	5704	47925	121261728	0.017012	1248947
COMPACT_ROW	mpbp_07	9532	30810	1368477	1248947	1248947	55603
COMPACT_CORE_WORK	440	301	2526	8000000	0.001936	30971
COMPACT_ROW	sonetgr17	440	2958	37814	30971	30971	2807
COMPACT_CORE_WORK	2207	1415	6145	8000000	0.001453	42319
COMPACT_ROW	p_ball_30b_7p_2d_h	2207	7516	42456	42319	42319	7771
COMPACT_ROW	pinene200	19995	97990	1358716	1134463	1134463	133427
COMPACT_ROW	unitcommit_200_100_1_mod_8	146830	476332	3053940	2981835	2981835	498723
COMPACT_CORE_WORK	123	91	888	8000000	0.002121	11503
