matrix	accepted_priority_or_lex_flags
slay06m	0
sssd25-08	0
rsyn0810m04m	0
pooling_sppc3pq	0
sporttournament48	0
pooling_sppa9pq	0
edgecross10-090	0
maxcsp-ehi-85-297-71	0
st_bpaf1a	0
risk2bpb	0
qap	0
rsyn0830m04m	0
lop97icx	0
chain400	0
mpbp_07	0
sonetgr17	0
p_ball_30b_7p_2d_h	0
pinene200	0
unitcommit_200_100_1_mod_8	0
ex8_3_9	0
rsyn0820m02m	0
p_ball_10b_5p_2d_m	0
pooling_adhya4tp	0
squfl015-080persp	0
edgecross10-080	0
clay0204hfsg	0
st_bsj2	0
chimera_mgw-c8-439-onc8-002	0
batchs201210m	0
rsyn0815m04m	0
syn40m	0
knp5-44	0
ex1263a	0
st_e41	0
squfl025-030	0
wastewater05m1	0
cvxnonsep_psig20	0
meanvar-orl400_05_e_8	0
st_e31	0
pooling_sppc1pq	3
pooling_haverly1pq	0
graphpart_3g-0244-0244	0
graphpart_clique-20	0
mpbp_48	1
pooling_sppb5pq	0
slay07m	0
nvs19	0
oil	0
squfl015-060	0
ndcc12persp	0
kissing2	0
nuclear25a	0
clay0204m	0
st_ph13	0
edgecross10-030	0
chain200	0
ex1223b	0
slay09h	0
ndcc12	0
kall_circlesrectangles_c6r39	0
squfl020-150	0
autocorr_bern40-30	0
slay08m	0
chimera_mgw-c16-2031-01	1
forest	0
qspp_0_10_0_1_10_1	0
st_ph1	0
elf	0
ex3_1_3	0
cvxnonsep_normcon40r	0
demo7	0
waternd2	0
prolog	0
ex14_1_8	0
faclay75	0
st_qpk3	0
mpbp_34	0
cvxnonsep_normcon20r	0
cvxnonsep_psig20r	0
crudeoil_pooling_dt2	1
rsyn0805m03m	0
st_iqpbk1	0
waterund01	0
pointpack04	0
st_e22	0
faclay30	0
arki0002	0
transswitch0300p	0
crudeoil_pooling_dt3	1
gasprod_sarawak81	0
maxcsp-langford-3-11	0
p_ball_30b_5p_2d_h	0
ringpack_20_3	0
waste	0
catmix400	0
rsyn0815m02hfsg	0
p_ball_10b_7p_3d_h	0
chimera_k64ising-02	0
batchs121208m	0
nvs02	0
wastepaper6	0
syn15hfsg	0
st_jcbpaf2	0
camshape400	0
graphpart_clique-30	0
graphpart_clique-70	0
smallinvDAXr1b010-011	0
nd_netgen-2000-3-4-b-a-ns_7	0
slay05m	0
chimera_selby-c16-01	0
csched1	0
watercontamination0303r	0
ex9_2_4	0
sssd15-04	0
autocorr_bern35-35fix	0
sfacloc2_4_90	0
cont6-qq	0
meanvar-orl400_05_e_7	0
glider400	0
syn40m04m	0
ex2_1_3	0
qapw	0
himmel11	0
syn15m04m	0
pooling_rt2tp	0
waterund14	0
crudeoil_lee4_10	3
pooling_foulds4pq	0
edgecross14-156	0
tspn08	0
crudeoil_li05	0
procurement1large	3
blend721	0
chimera_selby-c16-02	0
supplychainr1_053050	0
sfacloc2_4_80	0
st_e24	0
edgecross10-040	0
sonet21v6	0
squfl010-080	0
genpooling_lee2	0
popdynm25	0
chp_partload	0
qspp_0_14_0_1_10_1	0
st_glmp_ss1	0
torsion50	0
st_rv2	0
emfl100_3_3	0
pedigree_sim400	0
polygon75	0
gabriel10	0
fo9_ar25_1	0
rsyn0840m	0
gancns	0
o9_ar4_1	0
ex1265a	0
ex9_2_6	0
qspp_0_13_0_1_10_1	0
slay04m	0
st_e25	0
ex8_4_1	0
st_e07	0
ex1225	0
ndcc13	0
syn10m04m	0
ex5_2_4	0
st_m2	0
st_bpk1	0
multiplants_stg1	0
powerflow0300p	0
nd_netgen-3000-1-1-b-b-ns_7	0
sonet23v4	0
pooling_sppa0pq	0
multiplants_mtg1b	0
sssd18-08persp	0
ex9_1_2	0
crudeoil_lee1_07	1
pooling_haverly1tp	0
waterund08	0
kall_diffcircles_6	0
chimera_mgw-c8-439-onc8-001	0
waterund11	0
chp_shorttermplan2d	0
sporttournament18	0
cvxnonsep_psig30	0
ringpack_20_2	0
blend718	0
wastepaper4	0
squfl010-040persp	0
crudeoil_lee4_06	3
netmod_kar1	0
ex8_1_7	0
graphpart_3g-0333-0333	0
slay05h	0
korcns	0
powerflow0118p	0
sfacloc2_3_80	0
rsyn0820m04m	0
hydroenergy1	0
maxmin	0
st_ht	0
crudeoil_lee2_06	3
kan_r3_h1_n4	0
primary	0
syn10m03hfsg	0
wastewater02m1	0
supplychainr1_022020	0
squfl025-025persp	0
ringpack_30_2	0
nuclear104	1
chp_shorttermplan1a	0
rocket50	0
rsyn0840m04m	0
mpbp_21	0
orth_d4m6_pl	0
kall_circlespolygons_c1p5b	0
acopf_case9241pegase_qcqp	0
ex1223	0
ex6_1_4	0
powerflow0014r	0
knp5-43	0
gabriel09	0
tln2	0
prob02	0
blend146	0
mpbp_46	0
tls6	0
emfl100_5_5	0
qspp_0_11_0_1_10_1	0
p_ball_10b_5p_4d_m	0
st_rv9	0
rsyn0840m02m	0
nvs05	0
autocorr_bern25-19	0
sssd20-08persp	0
multiplants_stg5	0
chimera_rfr-02	0
multiplants_stg1a	0
pooling_adhya4pq	0
nuclear10a	1
sonet24v5	0
transswitch2736spr	0
chp_shorttermplan2a	0
catmix200	0
nvs23	0
oaer	0
hybriddynamic_fixed	0
edgecross24-115	0
space25	0
methanol400	0
pooling_foulds5tp	0
pooling_sppa9tp	0
st_miqp2	0
autocorr_bern30-23	0
mpbp_15	0
cvxnonsep_psig30r	0
rsyn0830hfsg	0
crudeoil_pooling_ct1	0
multiplants_stg1c	0
st_pan1	0
multiplants_stg1b	0
methanol200	0
faclay35	0
emfl050_5_5	0
transswitch2383wpr	0
chimera_lga-01	0
gasprod_sarawak16	0
crudeoil_lee4_09	3
arki0013	3
st_m1	0
mpbp_47	0
rsyn0815m	0
arki0016	0
st_glmp_ss2	0
rsyn0810m02hfsg	0
pointpack06	0
syn40m04hfsg	0
clay0304m	0
pooling_foulds5pq	0
clay0305hfsg	0
st_test8	0
gams05	0
sporttournament08	0
powerflow0030p	0
popdynm200	1
mpbp_35	0
syn30m02m	0
wastewater13m1	0
syn40hfsg	0
sep1	0
syn30m03m	0
st_qpc-m3a	0
crudeoil_pooling_ct3	0
space25a	0
autocorr_bern20-15	0
ex7_2_1	0
hydroenergy2	0
pooling_digabel19	0
clay0203m	0
squfl030-150	0
