tag	matrix	n	input_nnz	amd_flops	baseline_flops	factor_nnz	seconds	raw0	raw1	raw2	raw3	post0	post1	post2	post3
ORIGINAL_ROW	slay06m	357	1080	4025	4025	1113	0.000271	4025	4025	4025	4025	4025	4025	4025	4025
ORIGINAL_ROW	sssd25-08	401	1200	5389	5389	1325	0.000220	5389	5389	5389	5389	5389	5389	5389	5389
ORIGINAL_ROW	rsyn0810m04m	4772	13836	147553	113250	17270	0.002934	113250	113250	113250	113250	113250	113250	113250	113250
ORIGINAL_ROW	pooling_sppc3pq	23173	893724	1153877333	325595394	1305528	0.000000	325595394	325595394	325595394	325595394	325595394	325595394	325595394	325595394
ORIGINAL_ROW	sporttournament48	1131	6676	919582	594138	20480	0.001385	594138	594138	594138	594138	594138	594138	594138	594138
ORIGINAL_ROW	pooling_sppa9pq	5030	120730	23971280	15130622	152488	0.008877	15130622	15130622	15130622	15130622	15130622	15130622	15130622	15130622
ORIGINAL_ROW	edgecross10-090	1053	5204	126115	103179	5545	0.000732	103179	103179	103179	103179	103179	103179	103179	103179
ORIGINAL_ROW	maxcsp-ehi-85-297-71	2372	207996	1381768944	1110971341	1294981	0.000000	1110971341	1110971341	1110971341	1110971341	1110971341	1110971341	1110971341	1110971341
ORIGINAL_ROW	st_bpaf1a	30	120	623	580	120	0.000024	580	580	580	580	580	580	580	580
ORIGINAL_ROW	risk2bpb	1462	5396	118471	66041	6655	0.001021	66041	66041	66041	66041	66041	66041	66041	66041
ORIGINAL_ROW	qap	255	43748	3802533	3650113	25541	0.003373	3650113	3650113	3650113	3650113	3650113	3650113	3650113	3650113
ORIGINAL_ROW	rsyn0830m04m	7252	20752	212130	171656	25678	0.004552	171656	171656	171656	171656	171656	171656	171656	171656
ORIGINAL_ROW	lop97icx	1073	2118	79286	64044	3950	0.000563	64044	64044	64044	64044	64044	64044	64044	64044
ORIGINAL_ROW	chain400	1201	4796	16382	16382	4398	0.000692	16382	16382	16382	16382	16382	16382	16382	16382
ORIGINAL_ROW	mpbp_07	9532	30810	1368477	1248947	55603	0.006252	1248947	1248947	1248947	1248947	1248947	1248947	1248947	1248947
ORIGINAL_ROW	sonetgr17	440	2958	37814	30971	2807	0.000368	30971	30971	30971	30971	30971	30971	30971	30971
ORIGINAL_ROW	p_ball_30b_7p_2d_h	2207	7516	42456	42319	7771	0.001212	42319	42319	42319	42319	42319	42319	42319	42319
ORIGINAL_ROW	pinene200	19995	97990	1358716	1134463	133427	0.015145	1134463	1134463	1134463	1134463	1134463	1134463	1134463	1134463
ORIGINAL_ROW	unitcommit_200_100_1_mod_8	146830	476332	3053940	2981835	498723	0.000000	2981835	2981835	2981835	2981835	2981835	2981835	2981835	2981835
ORIGINAL_ROW	ex8_3_9	123	834	15050	11503	1019	0.000124	11503	11503	11503	11503	11503	11503	11503	11503
ORIGINAL_ROW	rsyn0820m02m	2486	6932	38190	35631	8131	0.001552	35631	35631	35631	35631	35631	35631	35631	35631
ORIGINAL_ROW	p_ball_10b_5p_2d_m	293	964	6648	6547	1135	0.000177	6547	6547	6547	6547	6547	6547	6547	6547
ORIGINAL_ROW	pooling_adhya4tp	170	936	26842	20581	1459	0.000172	20581	20581	20581	20581	20581	20581	20581	20581
ORIGINAL_ROW	squfl015-080persp	7295	21600	74520	74520	20600	0.003788	74520	74520	74520	74520	74520	74520	74520	74520
ORIGINAL_ROW	edgecross10-080	1053	5940	170814	164639	6247	0.000838	164639	164639	164639	164639	164639	164639	164639	164639
ORIGINAL_ROW	clay0204hfsg	590	1696	7198	6562	1858	0.000349	6562	6562	6562	6562	6562	6562	6562	6562
ORIGINAL_ROW	st_bsj2	13	40	143	114	36	0.000011	114	114	114	114	114	114	114	114
ORIGINAL_ROW	chimera_mgw-c8-439-onc8-002	440	3038	97870	86464	5210	0.000507	86464	86464	86464	86464	86464	86464	86464	86464
ORIGINAL_ROW	batchs201210m	5188	17910	349298	303381	21409	0.003081	303381	303381	303381	303381	303381	303381	303381	303381
ORIGINAL_ROW	rsyn0815m04m	5456	15756	184352	143458	20102	0.003469	143458	143458	143458	143458	143458	143458	143458	143458
ORIGINAL_ROW	syn40m	560	1528	5007	4829	1585	0.000349	4829	4829	4829	4829	4829	4829	4829	4829
ORIGINAL_ROW	knp5-44	2157	32604	3764003	3764003	38039	0.002729	3764003	3764003	3764003	3764003	3764003	3764003	3764003	3764003
ORIGINAL_ROW	ex1263a	94	390	2098	2098	392	0.000068	2098	2098	2098	2098	2098	2098	2098	2098
ORIGINAL_ROW	st_e41	8	32	88	88	24	0.000008	88	88	88	88	88	88	88	88
ORIGINAL_ROW	squfl025-030	2305	6000	42305	42305	7105	0.001135	42305	42305	42305	42305	42305	42305	42305	42305
ORIGINAL_ROW	wastewater05m1	98	536	11690	8036	722	0.000103	8036	8036	8036	8036	8036	8036	8036	8036
ORIGINAL_ROW	cvxnonsep_psig20	20	380	2870	2870	210	0.000026	2870	2870	2870	2870	2870	2870	2870	2870
ORIGINAL_ROW	meanvar-orl400_05_e_8	4405	171604	21923414	21922611	91407	0.010511	21922611	21922611	21922611	21922611	21922611	21922611	21922611	21922611
ORIGINAL_ROW	st_e31	301	744	4534	4257	983	0.000187	4257	4257	4257	4257	4257	4257	4257	4257
ORIGINAL_ROW	pooling_sppc1pq	14100	477680	812210652	131443992	755948	0.030098	131443992	131443992	131443992	131443992	131443992	131443992	131443992	131443992
ORIGINAL_ROW	pooling_haverly1pq	31	96	412	403	105	0.000026	403	403	403	403	403	403	403	403
ORIGINAL_ROW	graphpart_3g-0244-0244	128	672	33446	32534	1608	0.000134	32534	32534	32534	32534	32534	32534	32534	32534
ORIGINAL_ROW	graphpart_clique-20	80	1260	34885	27856	1384	0.000125	27856	27856	27856	27856	27856	27856	27856	27856
ORIGINAL_ROW	mpbp_48	28368	91016	33835023	16124058	218338	0.019954	16124058	16124058	16124058	16124058	16124058	16124058	16124058	16124058
ORIGINAL_ROW	pooling_sppb5pq	18529	674470	523815053	213571545	857699	0.045894	213571545	213571545	213571545	213571545	213571545	213571545	213571545	213571545
ORIGINAL_ROW	slay07m	497	1512	5740	5740	1554	0.000260	5740	5740	5740	5740	5740	5740	5740	5740
ORIGINAL_ROW	nvs19	24	200	1353	884	124	0.000024	884	884	884	884	884	884	884	884
ORIGINAL_ROW	oil	3270	8430	36313	34760	9956	0.002052	34760	34760	34760	34760	34760	34760	34760	34760
ORIGINAL_ROW	squfl015-060	2775	7200	36400	36400	8280	0.001375	36400	36400	36400	36400	36400	36400	36400	36400
ORIGINAL_ROW	ndcc12persp	1112	5522	299115	284793	10779	0.000887	284793	284793	284793	284793	284793	284793	284793	284793
ORIGINAL_ROW	kissing2	20772	401024	156414018	156414018	482006	0.032952	156414018	156414018	156414018	156414018	156414018	156414018	156414018	156414018
ORIGINAL_ROW	nuclear25a	1942	16030	1977163	1136191	28193	0.002217	1136191	1136191	1136191	1136191	1136191	1136191	1136191	1136191
ORIGINAL_ROW	clay0204m	222	704	2330	2330	682	0.000126	2330	2330	2330	2330	2330	2330	2330	2330
ORIGINAL_ROW	st_ph13	23	68	207	178	60	0.000016	178	178	178	178	178	178	178	178
ORIGINAL_ROW	edgecross10-030	1053	4654	135854	100080	5536	0.000708	100080	100080	100080	100080	100080	100080	100080	100080
ORIGINAL_ROW	chain200	601	2396	8182	8182	2198	0.000349	8182	8182	8182	8182	8182	8182	8182	8182
ORIGINAL_ROW	ex1223b	25	66	178	178	64	0.000020	178	178	178	178	178	178	178	178
ORIGINAL_ROW	slay09h	2718	7488	36057	32385	8703	0.001450	32385	32385	32385	32385	32385	32385	32385	32385
ORIGINAL_ROW	ndcc12	974	5982	345696	329556	12112	0.000868	329556	329556	329556	329556	329556	329556	329556	329556
ORIGINAL_ROW	kall_circlesrectangles_c6r39	1306	5378	75744	74610	7868	0.000871	74610	74610	74610	74610	74610	74610	74610	74610
ORIGINAL_ROW	squfl020-150	9170	24000	135020	135020	27360	0.004573	135020	135020	135020	135020	135020	135020	135020	135020
ORIGINAL_ROW	autocorr_bern40-30	43	1534	20034	20034	810	0.000102	20034	20034	20034	20034	20034	20034	20034	20034
ORIGINAL_ROW	slay08m	660	2016	7796	7796	2068	0.000329	7796	7796	7796	7796	7796	7796	7796	7796
ORIGINAL_ROW	chimera_mgw-c16-2031-01	2032	15900	3328073	2560646	53436	0.002902	2560646	2560646	2560646	2560646	2560646	2560646	2560646	2560646
ORIGINAL_ROW	forest	713	2658	10614	10543	2445	0.000435	10543	10543	10543	10543	10543	10543	10543	10543
ORIGINAL_ROW	qspp_0_10_0_1_10_1	280	29636	1942907	1932414	16660	0.002556	1932414	1932414	1932414	1932414	1932414	1932414	1932414	1932414
ORIGINAL_ROW	st_ph1	16	58	274	233	55	0.000013	233	233	233	233	233	233	233	233
ORIGINAL_ROW	elf	124	376	2733	2173	441	0.000073	2173	2173	2173	2173	2173	2173	2173	2173
ORIGINAL_ROW	ex3_1_3	18	36	90	83	37	0.000011	83	83	83	83	83	83	83	83
ORIGINAL_ROW	cvxnonsep_normcon40r	162	322	645	645	323	0.000068	645	645	645	645	645	645	645	645
ORIGINAL_ROW	demo7	155	618	3579	3426	620	0.000104	3426	3426	3426	3426	3426	3426	3426	3426
ORIGINAL_ROW	waternd2	615	2580	155674	74817	4059	0.000463	74817	74817	74817	74817	74817	74817	74817	74817
ORIGINAL_ROW	prolog	64	292	1245	1225	257	0.000049	1225	1225	1225	1225	1225	1225	1225	1225
ORIGINAL_ROW	ex14_1_8	11	30	80	80	28	0.000009	80	80	80	80	80	80	80	80
ORIGINAL_ROW	faclay75	272878	1379706	3204527350	3013800414	3449330	0.000000	3013800414	3013800414	3013800414	3013800414	3013800414	3013800414	3013800414	3013800414
ORIGINAL_ROW	st_qpk3	55	548	5467	3762	374	0.000050	3762	3762	3762	3762	3762	3762	3762	3762
ORIGINAL_ROW	mpbp_34	11556	40860	3093917	891278	62428	0.007364	891278	891278	891278	891278	891278	891278	891278	891278
ORIGINAL_ROW	cvxnonsep_normcon20r	82	162	325	325	163	0.000036	325	325	325	325	325	325	325	325
ORIGINAL_ROW	cvxnonsep_psig20r	86	170	341	341	171	0.000034	341	341	341	341	341	341	341	341
ORIGINAL_ROW	crudeoil_pooling_dt2	18742	75910	14985540	9947927	174213	0.015173	9947927	9947927	9947927	9947927	9947927	9947927	9947927	9947927
ORIGINAL_ROW	rsyn0805m03m	2868	8270	60979	54853	10111	0.001740	54853	54853	54853	54853	54853	54853	54853	54853
ORIGINAL_ROW	st_iqpbk1	22	98	295	295	71	0.000018	295	295	295	295	295	295	295	295
ORIGINAL_ROW	waterund01	96	404	4546	3317	457	0.000073	3317	3317	3317	3317	3317	3317	3317	3317
ORIGINAL_ROW	pointpack04	29	120	577	577	113	0.000024	577	577	577	577	577	577	577	577
ORIGINAL_ROW	st_e22	12	30	77	70	28	0.000008	70	70	70	70	70	70	70	70
ORIGINAL_ROW	faclay30	16678	82242	13452923	12850431	116585	0.012552	12850431	12850431	12850431	12850431	12850431	12850431	12850431	12850431
ORIGINAL_ROW	arki0002	4432	11248	683476	667374	27906	0.002893	667374	667374	667374	667374	667374	667374	667374	667374
ORIGINAL_ROW	transswitch0300p	11659	48446	404940	374416	51636	0.008638	374416	374416	374416	374416	374416	374416	374416	374416
ORIGINAL_ROW	crudeoil_pooling_dt3	30660	152210	48975085	33883039	471303	0.033620	33883039	33883039	33883039	33883039	33883039	33883039	33883039	33883039
ORIGINAL_ROW	gasprod_sarawak81	22536	75636	1030380	941231	110997	0.016090	941231	941231	941231	941231	941231	941231	941231	941231
ORIGINAL_ROW	maxcsp-langford-3-11	660	29646	33444033	10360919	72709	0.003548	10360919	10360919	10360919	10360919	10360919	10360919	10360919	10360919
ORIGINAL_ROW	p_ball_30b_5p_2d_h	1543	5224	25843	25742	5370	0.000848	25742	25742	25742	25742	25742	25742	25742	25742
ORIGINAL_ROW	ringpack_20_3	6709	45220	2415136	865627	40969	0.004766	865627	865627	865627	865627	865627	865627	865627	865627
ORIGINAL_ROW	waste	4825	21504	1468261	1270649	38413	0.004020	1270649	1270649	1270649	1270649	1270649	1270649	1270649	1270649
ORIGINAL_ROW	catmix400	2001	11192	36373	36364	8396	0.001257	36364	36364	36364	36364	36364	36364	36364	36364
ORIGINAL_ROW	rsyn0815m02hfsg	3054	7968	44604	41384	9902	0.001924	41384	41384	41384	41384	41384	41384	41384	41384
ORIGINAL_ROW	p_ball_10b_7p_3d_h	1236	4186	24380	23744	4436	0.000715	23744	23744	23744	23744	23744	23744	23744	23744
ORIGINAL_ROW	chimera_k64ising-02	1225	3846	613390	371142	11742	0.001190	371142	371142	371142	371142	371142	371142	371142	371142
ORIGINAL_ROW	batchs121208m	3404	11462	138030	128816	13224	0.001958	128816	128816	128816	128816	128816	128816	128816	128816
ORIGINAL_ROW	nvs02	11	46	142	142	36	0.000013	142	142	142	142	142	142	142	142
ORIGINAL_ROW	wastepaper6	191	1416	16611	16611	1511	0.000172	16611	16611	16611	16611	16611	16611	16611	16611
ORIGINAL_ROW	syn15hfsg	399	1022	3300	3272	1106	0.000259	3272	3272	3272	3272	3272	3272	3272	3272
ORIGINAL_ROW	st_jcbpaf2	36	246	1635	1543	199	0.000035	1543	1543	1543	1543	1543	1543	1543	1543
ORIGINAL_ROW	camshape400	2000	7188	16768	16768	5594	0.000978	16768	16768	16768	16768	16768	16768	16768	16768
ORIGINAL_ROW	graphpart_clique-30	120	2790	114505	91153	3027	0.000239	91153	91153	91153	91153	91153	91153	91153	91153
ORIGINAL_ROW	graphpart_clique-70	280	14910	1413012	1144894	15796	0.001071	1144894	1144894	1144894	1144894	1144894	1144894	1144894	1144894
ORIGINAL_ROW	smallinvDAXr1b010-011	39	1120	13510	13319	599	0.000075	13319	13319	13319	13319	13319	13319	13319	13319
ORIGINAL_ROW	nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394	64374	0.013807	273394	273394	273394	273394	273394	273394	273394	273394
ORIGINAL_ROW	slay05m	240	720	2635	2635	745	0.000126	2635	2635	2635	2635	2635	2635	2635	2635
ORIGINAL_ROW	chimera_selby-c16-01	2031	10964	3605628	2419538	50246	0.002778	2419538	2419538	2419538	2419538	2419538	2419538	2419538	2419538
ORIGINAL_ROW	csched1	110	376	975	975	323	0.000065	975	975	975	975	975	975	975	975
ORIGINAL_ROW	watercontamination0303r	1310	37028	2171882	2171882	20194	0.002273	2171882	2171882	2171882	2171882	2171882	2171882	2171882	2171882
ORIGINAL_ROW	ex9_2_4	15	36	117	117	41	0.000013	117	117	117	117	117	117	117	117
ORIGINAL_ROW	sssd15-04	163	440	1625	1625	497	0.000090	1625	1625	1625	1625	1625	1625	1625	1625
ORIGINAL_ROW	autocorr_bern35-35fix	38	1264	16214	16214	670	0.000076	16214	16214	16214	16214	16214	16214	16214	16214
ORIGINAL_ROW	sfacloc2_4_90	1491	4500	31682	28843	5335	0.000868	28843	28843	28843	28843	28843	28843	28843	28843
ORIGINAL_ROW	cont6-qq	120395	557994	835894090	581918900	3410086	0.000000	581918900	581918900	581918900	581918900	581918900	581918900	581918900	581918900
ORIGINAL_ROW	meanvar-orl400_05_e_7	5205	174804	21939414	21935811	95007	0.010427	21935811	21935811	21935811	21935811	21935811	21935811	21935811	21935811
ORIGINAL_ROW	glider400	10017	49624	373018	327461	54123	0.007534	327461	327461	327461	327461	327461	327461	327461	327461
ORIGINAL_ROW	syn40m04m	4960	13792	65982	63265	15219	0.002949	63265	63265	63265	63265	63265	63265	63265	63265
ORIGINAL_ROW	ex2_1_3	31	72	189	189	73	0.000021	189	189	189	189	189	189	189	189
ORIGINAL_ROW	qapw	705	87496	12183146	12183146	69878	0.004926	12183146	12183146	12183146	12183146	12183146	12183146	12183146	12183146
ORIGINAL_ROW	himmel11	14	60	198	198	48	0.000013	198	198	198	198	198	198	198	198
ORIGINAL_ROW	syn15m04m	1908	5288	26094	25061	5853	0.001133	25061	25061	25061	25061	25061	25061	25061	25061
ORIGINAL_ROW	pooling_rt2tp	118	654	5876	5796	708	0.000101	5796	5796	5796	5796	5796	5796	5796	5796
ORIGINAL_ROW	waterund14	333	2204	200484	72184	3330	0.000345	72184	72184	72184	72184	72184	72184	72184	72184
ORIGINAL_ROW	crudeoil_lee4_10	17809	120632	294531623	176348241	679883	0.126605	176195564	176316721	176195564	176318097	175846985	174752490	175846985	174752490
ORIGINAL_ROW	pooling_foulds4pq	1294	8302	138692	138540	9768	0.000967	138540	138540	138540	138540	138540	138540	138540	138540
ORIGINAL_ROW	edgecross14-156	3097	19664	1487933	1376964	22658	0.002723	1376964	1376964	1376964	1376964	1376964	1376964	1376964	1376964
ORIGINAL_ROW	tspn08	72	668	11074	7600	602	0.000077	7600	7600	7600	7600	7600	7600	7600	7600
ORIGINAL_ROW	crudeoil_li05	4225	14628	680022	533531	25833	0.003117	533531	533531	533531	533531	533531	533531	533531	533531
ORIGINAL_ROW	procurement1large	14416	41068	13858240	7372274	108944	0.011261	7372274	7372274	7372274	7372274	7372274	7372274	7372274	7372274
ORIGINAL_ROW	blend721	1428	4548	77560	66143	6157	0.000874	66143	66143	66143	66143	66143	66143	66143	66143
ORIGINAL_ROW	chimera_selby-c16-02	2031	10878	4280329	2298651	48833	0.002788	2298651	2298651	2298651	2298651	2298651	2298651	2298651	2298651
ORIGINAL_ROW	supplychainr1_053050	16640	57800	2173490	2173490	77190	0.009292	2173490	2173490	2173490	2173490	2173490	2173490	2173490	2173490
ORIGINAL_ROW	sfacloc2_4_80	5067	21424	93048	88884	17868	0.003049	88884	88884	88884	88884	88884	88884	88884	88884
ORIGINAL_ROW	st_e24	10	26	64	57	23	0.000009	57	57	57	57	57	57	57	57
ORIGINAL_ROW	edgecross10-040	1053	5116	161851	143518	6034	0.000785	143518	143518	143518	143518	143518	143518	143518	143518
ORIGINAL_ROW	sonet21v6	8232	40744	1643311	1585871	40593	0.005190	1585871	1585871	1585871	1585871	1585871	1585871	1585871	1585871
ORIGINAL_ROW	squfl010-080	2490	6400	27665	27665	7335	0.001192	27665	27665	27665	27665	27665	27665	27665	27665
