tag	matrix	n	input_nnz	amd_flops	base_flops	base_factor_nnz	selected_flops	seconds	accepted_state_flags
SELECTED_ORIGINAL_ROW	slay06m	357	1080	4025	4025	1113	4025	0.000000	0
SELECTED_ORIGINAL_ROW	sssd25-08	401	1200	5389	5389	1325	5389	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0810m04m	4772	13836	147553	113250	17270	113250	0.000000	0
SELECTED_ORIGINAL_ROW	pooling_sppc3pq	23173	893724	1153877333	325595394	1305528	325595394	0.000000	0
SELECTED_ORIGINAL_ROW	sporttournament48	1131	6676	919582	594138	20480	594138	0.000000	0
SELECTED_ORIGINAL_ROW	pooling_sppa9pq	5030	120730	23971280	15130622	152488	15130622	0.000000	0
SELECTED_ORIGINAL_ROW	edgecross10-090	1053	5204	126115	103179	5545	103179	0.000000	0
SELECTED_ORIGINAL_ROW	maxcsp-ehi-85-297-71	2372	207996	1381768944	1110971341	1294981	1110971341	0.000000	0
SELECTED_ORIGINAL_ROW	st_bpaf1a	30	120	623	580	120	580	0.000000	0
SELECTED_ORIGINAL_ROW	risk2bpb	1462	5396	118471	66041	6655	66041	0.000000	0
SELECTED_ORIGINAL_ROW	qap	255	43748	3802533	3650113	25541	3650113	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0830m04m	7252	20752	212130	171656	25678	171656	0.000000	0
SELECTED_ORIGINAL_ROW	lop97icx	1073	2118	79286	64044	3950	64044	0.000000	0
SELECTED_ORIGINAL_ROW	chain400	1201	4796	16382	16382	4398	16382	0.000000	0
SELECTED_ORIGINAL_ROW	mpbp_07	9532	30810	1368477	1248947	55603	1248947	0.000000	0
SELECTED_ORIGINAL_ROW	sonetgr17	440	2958	37814	30971	2807	30971	0.000000	0
SELECTED_ORIGINAL_ROW	p_ball_30b_7p_2d_h	2207	7516	42456	42319	7771	42319	0.000000	0
SELECTED_ORIGINAL_ROW	pinene200	19995	97990	1358716	1134463	133427	1134463	0.000000	0
SELECTED_ORIGINAL_ROW	unitcommit_200_100_1_mod_8	146830	476332	3053940	2981835	498723	2981835	0.000000	0
SELECTED_ORIGINAL_ROW	ex8_3_9	123	834	15050	11503	1019	11503	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0820m02m	2486	6932	38190	35631	8131	35631	0.000000	0
SELECTED_ORIGINAL_ROW	p_ball_10b_5p_2d_m	293	964	6648	6547	1135	6547	0.000000	0
