tag	matrix	n	input_nnz	amd_flops	failed_control_flops	reduced_flops	seconds
BATCH_RUNTIME_ROW	slay06m	357	1080	4025	4025	4025	0.256038
BATCH_RUNTIME_ROW	sssd25-08	401	1200	5389	5389	5389	0.234163
BATCH_RUNTIME_ROW	rsyn0810m04m	4772	13836	147553	113250	113250	0.458687
BATCH_RUNTIME_ROW	pooling_sppc3pq	23173	893724	1153877333	325595394	325595394	0.565375
BATCH_RUNTIME_ROW	sporttournament48	1131	6676	919582	594138	594138	0.458244
BATCH_RUNTIME_ROW	pooling_sppa9pq	5030	120730	23971280	15130622	15130622	0.293203
BATCH_RUNTIME_ROW	edgecross10-090	1053	5204	126115	103179	103179	0.259540
BATCH_RUNTIME_ROW	maxcsp-ehi-85-297-71	2372	207996	1381768944	1110971341	1110971341	0.197878
BATCH_RUNTIME_ROW	st_bpaf1a	30	120	623	580	580	0.187359
BATCH_RUNTIME_ROW	risk2bpb	1462	5396	118471	66041	66041	0.418763
BATCH_RUNTIME_ROW	qap	255	43748	3802533	3650113	3650113	0.131262
BATCH_RUNTIME_ROW	rsyn0830m04m	7252	20752	212130	171656	171656	0.445385
BATCH_RUNTIME_ROW	lop97icx	1073	2118	79286	64044	64044	0.247400
BATCH_RUNTIME_ROW	chain400	1201	4796	16382	16382	16382	0.203169
BATCH_RUNTIME_ROW	mpbp_07	9532	30810	1368477	1248947	1248947	0.600825
BATCH_RUNTIME_ROW	sonetgr17	440	2958	37814	30971	30971	0.306221
BATCH_RUNTIME_ROW	p_ball_30b_7p_2d_h	2207	7516	42456	42319	42319	0.367371
BATCH_RUNTIME_ROW	pinene200	19995	97990	1358716	1134463	1134463	0.484837
BATCH_RUNTIME_ROW	unitcommit_200_100_1_mod_8	146830	476332	3053940	2981835	2981835	0.308405
BATCH_RUNTIME_ROW	ex8_3_9	123	834	15050	11503	11503	0.286580
BATCH_RUNTIME_ROW	rsyn0820m02m	2486	6932	38190	35631	35631	0.425142
BATCH_RUNTIME_ROW	p_ball_10b_5p_2d_m	293	964	6648	6547	6547	0.277121
BATCH_RUNTIME_ROW	pooling_adhya4tp	170	936	26842	20581	20581	0.217571
BATCH_RUNTIME_ROW	squfl015-080persp	7295	21600	74520	74520	74520	0.239385
BATCH_RUNTIME_ROW	edgecross10-080	1053	5940	170814	164639	164639	0.267226
BATCH_RUNTIME_ROW	clay0204hfsg	590	1696	7198	6562	6562	0.269191
BATCH_RUNTIME_ROW	st_bsj2	13	40	143	114	114	0.146354
BATCH_RUNTIME_ROW	chimera_mgw-c8-439-onc8-002	440	3038	97870	86464	86464	0.382589
BATCH_RUNTIME_ROW	batchs201210m	5188	17910	349298	303381	303381	0.522017
BATCH_RUNTIME_ROW	rsyn0815m04m	5456	15756	184352	143458	143458	0.513063
BATCH_RUNTIME_ROW	syn40m	560	1528	5007	4829	4829	0.275058
BATCH_RUNTIME_ROW	knp5-44	2157	32604	3764003	3764003	3764003	0.223484
BATCH_RUNTIME_ROW	ex1263a	94	390	2098	2098	2098	0.233645
BATCH_RUNTIME_ROW	st_e41	8	32	88	88	88	0.000002
BATCH_RUNTIME_ROW	squfl025-030	2305	6000	42305	42305	42305	0.282629
BATCH_RUNTIME_ROW	wastewater05m1	98	536	11690	8036	8036	0.256541
BATCH_RUNTIME_ROW	cvxnonsep_psig20	20	380	2870	2870	2870	0.000004
BATCH_RUNTIME_ROW	meanvar-orl400_05_e_8	4405	171604	21923414	21922611	21922611	0.186168
BATCH_RUNTIME_ROW	st_e31	301	744	4534	4257	4257	0.259478
BATCH_RUNTIME_ROW	pooling_sppc1pq	14100	477680	812210652	131443992	136686008	0.307696
BATCH_RUNTIME_ROW	pooling_haverly1pq	31	96	412	403	403	0.190414
BATCH_RUNTIME_ROW	graphpart_3g-0244-0244	128	672	33446	32534	32534	0.231168
BATCH_RUNTIME_ROW	graphpart_clique-20	80	1260	34885	27856	27856	0.226807
BATCH_RUNTIME_ROW	mpbp_48	28368	91016	33835023	16124058	16144599	0.592180
BATCH_RUNTIME_ROW	pooling_sppb5pq	18529	674470	523815053	213571545	213571545	0.456513
BATCH_RUNTIME_ROW	slay07m	497	1512	5740	5740	5740	0.260051
BATCH_RUNTIME_ROW	nvs19	24	200	1353	884	884	0.000003
BATCH_RUNTIME_ROW	oil	3270	8430	36313	34760	34760	0.406941
BATCH_RUNTIME_ROW	squfl015-060	2775	7200	36400	36400	36400	0.304084
BATCH_RUNTIME_ROW	ndcc12persp	1112	5522	299115	284793	284793	0.356526
BATCH_RUNTIME_ROW	kissing2	20772	401024	156414018	156414018	156414018	0.322618
BATCH_RUNTIME_ROW	nuclear25a	1942	16030	1977163	1136191	1136191	0.429327
BATCH_RUNTIME_ROW	clay0204m	222	704	2330	2330	2330	0.257813
BATCH_RUNTIME_ROW	st_ph13	23	68	207	178	178	0.123403
BATCH_RUNTIME_ROW	edgecross10-030	1053	4654	135854	100080	100080	0.345327
BATCH_RUNTIME_ROW	chain200	601	2396	8182	8182	8182	0.236592
BATCH_RUNTIME_ROW	ex1223b	25	66	178	178	178	0.147007
BATCH_RUNTIME_ROW	slay09h	2718	7488	36057	32385	32385	0.375568
BATCH_RUNTIME_ROW	ndcc12	974	5982	345696	329556	329556	0.443678
BATCH_RUNTIME_ROW	kall_circlesrectangles_c6r39	1306	5378	75744	74610	74610	0.361605
BATCH_RUNTIME_ROW	squfl020-150	9170	24000	135020	135020	135020	0.411801
BATCH_RUNTIME_ROW	autocorr_bern40-30	43	1534	20034	20034	20034	0.000009
BATCH_RUNTIME_ROW	slay08m	660	2016	7796	7796	7796	0.273217
BATCH_RUNTIME_ROW	chimera_mgw-c16-2031-01	2032	15900	3328073	2560646	2569662	0.460343
BATCH_RUNTIME_ROW	forest	713	2658	10614	10543	10543	0.359922
BATCH_RUNTIME_ROW	qspp_0_10_0_1_10_1	280	29636	1942907	1932414	1932414	0.153376
BATCH_RUNTIME_ROW	st_ph1	16	58	274	233	233	0.161240
BATCH_RUNTIME_ROW	elf	124	376	2733	2173	2173	0.239581
BATCH_RUNTIME_ROW	ex3_1_3	18	36	90	83	83	0.130377
BATCH_RUNTIME_ROW	cvxnonsep_normcon40r	162	322	645	645	645	0.000002
BATCH_RUNTIME_ROW	demo7	155	618	3579	3426	3426	0.279207
BATCH_RUNTIME_ROW	waternd2	615	2580	155674	74817	74817	0.334725
BATCH_RUNTIME_ROW	prolog	64	292	1245	1225	1225	0.241848
BATCH_RUNTIME_ROW	ex14_1_8	11	30	80	80	80	0.106658
BATCH_RUNTIME_ROW	faclay75	272878	1379706	3204527350	3013800414	3013800414	0.435406
BATCH_RUNTIME_ROW	st_qpk3	55	548	5467	3762	3762	0.153311
BATCH_RUNTIME_ROW	mpbp_34	11556	40860	3093917	891278	891278	0.448656
BATCH_RUNTIME_ROW	cvxnonsep_normcon20r	82	162	325	325	325	0.000003
BATCH_RUNTIME_ROW	cvxnonsep_psig20r	86	170	341	341	341	0.000001
BATCH_RUNTIME_ROW	crudeoil_pooling_dt2	18742	75910	14985540	9947927	9947932	0.455588
BATCH_RUNTIME_ROW	rsyn0805m03m	2868	8270	60979	54853	54853	0.552778
BATCH_RUNTIME_ROW	st_iqpbk1	22	98	295	295	295	0.000003
BATCH_RUNTIME_ROW	waterund01	96	404	4546	3317	3317	0.291227
BATCH_RUNTIME_ROW	pointpack04	29	120	577	577	577	0.178409
BATCH_RUNTIME_ROW	st_e22	12	30	77	70	70	0.102015
BATCH_RUNTIME_ROW	faclay30	16678	82242	13452923	12850431	12850431	0.342153
BATCH_RUNTIME_ROW	arki0002	4432	11248	683476	667374	667374	0.373002
BATCH_RUNTIME_ROW	transswitch0300p	11659	48446	404940	374416	374416	0.602356
BATCH_RUNTIME_ROW	crudeoil_pooling_dt3	30660	152210	48975085	33883039	33883414	0.552597
BATCH_RUNTIME_ROW	gasprod_sarawak81	22536	75636	1030380	941231	941231	0.484815
BATCH_RUNTIME_ROW	maxcsp-langford-3-11	660	29646	33444033	10360919	10360919	0.332880
BATCH_RUNTIME_ROW	p_ball_30b_5p_2d_h	1543	5224	25843	25742	25742	0.281333
BATCH_RUNTIME_ROW	ringpack_20_3	6709	45220	2415136	865627	865627	0.361825
BATCH_RUNTIME_ROW	waste	4825	21504	1468261	1270649	1270649	0.506047
BATCH_RUNTIME_ROW	catmix400	2001	11192	36373	36364	36364	0.215652
BATCH_RUNTIME_ROW	rsyn0815m02hfsg	3054	7968	44604	41384	41384	0.412971
BATCH_RUNTIME_ROW	p_ball_10b_7p_3d_h	1236	4186	24380	23744	23744	0.284516
BATCH_RUNTIME_ROW	chimera_k64ising-02	1225	3846	613390	371142	371142	0.510600
BATCH_RUNTIME_ROW	batchs121208m	3404	11462	138030	128816	128816	0.450568
BATCH_RUNTIME_ROW	nvs02	11	46	142	142	142	0.142712
BATCH_RUNTIME_ROW	wastepaper6	191	1416	16611	16611	16611	0.267516
BATCH_RUNTIME_ROW	syn15hfsg	399	1022	3300	3272	3272	0.245035
BATCH_RUNTIME_ROW	st_jcbpaf2	36	246	1635	1543	1543	0.178580
BATCH_RUNTIME_ROW	camshape400	2000	7188	16768	16768	16768	0.000038
BATCH_RUNTIME_ROW	graphpart_clique-30	120	2790	114505	91153	91153	0.244198
BATCH_RUNTIME_ROW	graphpart_clique-70	280	14910	1413012	1144894	1144894	0.192577
BATCH_RUNTIME_ROW	smallinvDAXr1b010-011	39	1120	13510	13319	13319	0.000006
BATCH_RUNTIME_ROW	nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394	273394	0.285838
BATCH_RUNTIME_ROW	slay05m	240	720	2635	2635	2635	0.254740
BATCH_RUNTIME_ROW	chimera_selby-c16-01	2031	10964	3605628	2419538	2419538	0.545501
BATCH_RUNTIME_ROW	csched1	110	376	975	975	975	0.243419
BATCH_RUNTIME_ROW	watercontamination0303r	1310	37028	2171882	2171882	2171882	0.128259
BATCH_RUNTIME_ROW	ex9_2_4	15	36	117	117	117	0.111435
BATCH_RUNTIME_ROW	sssd15-04	163	440	1625	1625	1625	0.187549
BATCH_RUNTIME_ROW	autocorr_bern35-35fix	38	1264	16214	16214	16214	0.000006
BATCH_RUNTIME_ROW	sfacloc2_4_90	1491	4500	31682	28843	28843	0.324398
BATCH_RUNTIME_ROW	cont6-qq	120395	557994	835894090	581918900	581918900	0.211574
BATCH_RUNTIME_ROW	meanvar-orl400_05_e_7	5205	174804	21939414	21935811	21935811	0.178002
BATCH_RUNTIME_ROW	glider400	10017	49624	373018	327461	327461	0.321475
BATCH_RUNTIME_ROW	syn40m04m	4960	13792	65982	63265	63265	0.466138
BATCH_RUNTIME_ROW	ex2_1_3	31	72	189	189	189	0.150322
BATCH_RUNTIME_ROW	qapw	705	87496	12183146	12183146	12183146	0.421224
BATCH_RUNTIME_ROW	himmel11	14	60	198	198	198	0.144698
BATCH_RUNTIME_ROW	syn15m04m	1908	5288	26094	25061	25061	0.310521
BATCH_RUNTIME_ROW	pooling_rt2tp	118	654	5876	5796	5796	0.252816
BATCH_RUNTIME_ROW	waterund14	333	2204	200484	72184	72184	0.286792
BATCH_RUNTIME_ROW	crudeoil_lee4_10	17809	120632	294531623	176348241	184173410	0.731669
BATCH_RUNTIME_ROW	pooling_foulds4pq	1294	8302	138692	138540	138540	0.372254
BATCH_RUNTIME_ROW	edgecross14-156	3097	19664	1487933	1376964	1376964	0.310203
BATCH_RUNTIME_ROW	tspn08	72	668	11074	7600	7600	0.216528
BATCH_RUNTIME_ROW	crudeoil_li05	4225	14628	680022	533531	533531	0.464871
BATCH_RUNTIME_ROW	procurement1large	14416	41068	13858240	7372274	7376882	0.464748
BATCH_RUNTIME_ROW	blend721	1428	4548	77560	66143	66143	0.302617
BATCH_RUNTIME_ROW	chimera_selby-c16-02	2031	10878	4280329	2298651	2298651	0.549450
BATCH_RUNTIME_ROW	supplychainr1_053050	16640	57800	2173490	2173490	2173490	0.350119
BATCH_RUNTIME_ROW	sfacloc2_4_80	5067	21424	93048	88884	88884	0.552337
BATCH_RUNTIME_ROW	st_e24	10	26	64	57	57	0.000002
BATCH_RUNTIME_ROW	edgecross10-040	1053	5116	161851	143518	143518	0.285626
BATCH_RUNTIME_ROW	sonet21v6	8232	40744	1643311	1585871	1585871	0.368303
BATCH_RUNTIME_ROW	squfl010-080	2490	6400	27665	27665	27665	0.280746
BATCH_RUNTIME_ROW	genpooling_lee2	221	1048	19895	14028	14028	0.250884
BATCH_RUNTIME_ROW	popdynm25	2807	13904	360081	286812	286812	0.494223
BATCH_RUNTIME_ROW	chp_partload	5211	16740	509170	373134	373134	0.609339
BATCH_RUNTIME_ROW	qspp_0_14_0_1_10_1	560	120274	16119226	16038266	16038266	0.208662
BATCH_RUNTIME_ROW	st_glmp_ss1	24	66	160	160	160	0.129143
BATCH_RUNTIME_ROW	torsion50	2508	29808	1691033	1119054	1119054	0.379395
BATCH_RUNTIME_ROW	st_rv2	40	340	2045	2045	2045	0.204029
BATCH_RUNTIME_ROW	emfl100_3_3	6885	15948	55506	55506	55506	0.219131
BATCH_RUNTIME_ROW	pedigree_sim400	351	23546	1183471	1183168	1183168	0.000080
BATCH_RUNTIME_ROW	polygon75	5846	49652	1171822	1171822	1171822	0.000204
BATCH_RUNTIME_ROW	gabriel10	244056	1148210	1365442310	1267760679	1267760679	0.415628
BATCH_RUNTIME_ROW	fo9_ar25_1	1049	4336	41668	38237	38237	0.269542
BATCH_RUNTIME_ROW	rsyn0840m	1159	3168	11274	10602	10602	0.293077
