name	n	nnz	control_seconds	new_seconds	control_flops	new_flops	control_factor
random_n2048_links4	2048	16356	0.678929	0.678011	287668791	287668791	479781
random_n2048_links20	2048	81176	0.371614	0.372928	1563953334	1563953334	1436668
random_n2048_links40	2048	160592	0.253410	0.253913	2052595742	2052595742	1712998
random_n8000_links2	8000	31994	0.804527	0.809766	2313688186	2313688186	1914616
random_n8000_links4	8000	63982	0.837531	0.838866	17374301479	17374301479	7147835
random_n8000_links8	8000	127850	0.804790	0.817890	46255579139	46255579139	13602705
random_n8000_links10	8000	159768	0.551585	0.556974	58257439844	58257439844	15844720
random_n12000_links4	12000	95972	0.578298	0.577678	58805440754	58805440754	16028016
grid32	1024	3968	0.345608	0.342415	195080	195080	11000
grid64	4096	16128	0.529285	0.527631	1848286	1848286	58822
grid96	9216	36480	0.567160	0.559635	6737887	6737887	152679
grid128	16384	65024	0.430005	0.428388	16629340	16629340	297384
grid192	36864	146688	0.394868	0.393286	59682899	59682899	756999
hub2048	2048	4094	0.000010	0.000010	8189	8189	4095
path16000	16000	31998	0.000062	0.000062	63997	63997	31999
hub16000	16000	31998	0.000076	0.000071	63997	63997	31999
