name	n	nnz	control_seconds	new_seconds	control_flops	new_flops	control_factor
random_n2048_links4	2048	16356	0.689663	0.693339	287668791	287668791	479781
random_n2048_links20	2048	81176	0.372065	0.372117	1563953334	1563953334	1436668
random_n2048_links40	2048	160592	0.254463	0.252920	2052595742	2052595742	1712998
random_n8000_links2	8000	31994	0.829444	0.834021	2313688186	2313688186	1914616
random_n8000_links4	8000	63982	0.872351	0.872321	17374301479	17374301479	7147835
random_n8000_links8	8000	127850	0.823656	0.829523	46255579139	46255579139	13602705
random_n8000_links10	8000	159768	0.550928	0.561055	58257439844	58257439844	15844720
random_n12000_links4	12000	95972	0.579585	0.579959	58805440754	58805440754	16028016
grid32	1024	3968	0.340687	0.339406	195080	195080	11000
grid64	4096	16128	0.531093	0.537956	1848286	1848286	58822
grid96	9216	36480	0.570803	0.574887	6737887	6737887	152679
grid128	16384	65024	0.431281	0.442475	16629340	16629340	297384
grid192	36864	146688	0.393594	0.397066	59682899	59682899	756999
hub2048	2048	4094	0.000010	0.000010	8189	8189	4095
path16000	16000	31998	0.000063	0.000062	63997	63997	31999
hub16000	16000	31998	0.000077	0.000071	63997	63997	31999
