name	n	nnz	amd	flops
slay06m	357	1080	4025	4025
sssd25-08	401	1200	5389	5389
rsyn0810m04m	4772	13836	147553	113250
pooling_sppc3pq	23173	893724	1153877333	325595394
sporttournament48	1131	6676	919582	594138
pooling_sppa9pq	5030	120730	23971280	15130622
edgecross10-090	1053	5204	126115	103179
maxcsp-ehi-85-297-71	2372	207996	1381768944	1110971341
st_bpaf1a	30	120	623	580
risk2bpb	1462	5396	118471	66041
qap	255	43748	3802533	3650113
rsyn0830m04m	7252	20752	212130	171656
lop97icx	1073	2118	79286	64044
chain400	1201	4796	16382	16382
mpbp_07	9532	30810	1368477	1248947
sonetgr17	440	2958	37814	30971
p_ball_30b_7p_2d_h	2207	7516	42456	42319
pinene200	19995	97990	1358716	1134463
unitcommit_200_100_1_mod_8	146830	476332	3053940	2981835
ex8_3_9	123	834	15050	11503
rsyn0820m02m	2486	6932	38190	35631
p_ball_10b_5p_2d_m	293	964	6648	6547
pooling_adhya4tp	170	936	26842	20581
squfl015-080persp	7295	21600	74520	74520
edgecross10-080	1053	5940	170814	164639
clay0204hfsg	590	1696	7198	6562
st_bsj2	13	40	143	114
chimera_mgw-c8-439-onc8-002	440	3038	97870	86464
batchs201210m	5188	17910	349298	303381
rsyn0815m04m	5456	15756	184352	143458
syn40m	560	1528	5007	4829
knp5-44	2157	32604	3764003	3764003
ex1263a	94	390	2098	2098
st_e41	8	32	88	88
squfl025-030	2305	6000	42305	42305
wastewater05m1	98	536	11690	8036
cvxnonsep_psig20	20	380	2870	2870
meanvar-orl400_05_e_8	4405	171604	21923414	21922611
st_e31	301	744	4534	4257
pooling_sppc1pq	14100	477680	812210652	136686008
pooling_haverly1pq	31	96	412	403
graphpart_3g-0244-0244	128	672	33446	32534
graphpart_clique-20	80	1260	34885	27856
mpbp_48	28368	91016	33835023	16127202
pooling_sppb5pq	18529	674470	523815053	213571545
slay07m	497	1512	5740	5740
nvs19	24	200	1353	884
oil	3270	8430	36313	34760
squfl015-060	2775	7200	36400	36400
ndcc12persp	1112	5522	299115	284793
kissing2	20772	401024	156414018	156414018
nuclear25a	1942	16030	1977163	1136191
clay0204m	222	704	2330	2330
st_ph13	23	68	207	178
edgecross10-030	1053	4654	135854	100080
chain200	601	2396	8182	8182
ex1223b	25	66	178	178
slay09h	2718	7488	36057	32385
ndcc12	974	5982	345696	329556
kall_circlesrectangles_c6r39	1306	5378	75744	74610
squfl020-150	9170	24000	135020	135020
autocorr_bern40-30	43	1534	20034	20034
slay08m	660	2016	7796	7796
chimera_mgw-c16-2031-01	2032	15900	3328073	2569662
forest	713	2658	10614	10543
qspp_0_10_0_1_10_1	280	29636	1942907	1932414
st_ph1	16	58	274	233
elf	124	376	2733	2173
ex3_1_3	18	36	90	83
cvxnonsep_normcon40r	162	322	645	645
demo7	155	618	3579	3426
waternd2	615	2580	155674	74817
prolog	64	292	1245	1225
ex14_1_8	11	30	80	80
faclay75	272878	1379706	3204527350	3013800414
st_qpk3	55	548	5467	3762
mpbp_34	11556	40860	3093917	891278
cvxnonsep_normcon20r	82	162	325	325
cvxnonsep_psig20r	86	170	341	341
crudeoil_pooling_dt2	18742	75910	14985540	9947927
rsyn0805m03m	2868	8270	60979	54853
st_iqpbk1	22	98	295	295
waterund01	96	404	4546	3317
pointpack04	29	120	577	577
st_e22	12	30	77	70
faclay30	16678	82242	13452923	12850431
arki0002	4432	11248	683476	667374
transswitch0300p	11659	48446	404940	374416
crudeoil_pooling_dt3	30660	152210	48975085	33883039
gasprod_sarawak81	22536	75636	1030380	941231
maxcsp-langford-3-11	660	29646	33444033	10360919
p_ball_30b_5p_2d_h	1543	5224	25843	25742
ringpack_20_3	6709	45220	2415136	865627
waste	4825	21504	1468261	1270649
catmix400	2001	11192	36373	36364
rsyn0815m02hfsg	3054	7968	44604	41384
p_ball_10b_7p_3d_h	1236	4186	24380	23744
chimera_k64ising-02	1225	3846	613390	371142
batchs121208m	3404	11462	138030	128816
nvs02	11	46	142	142
wastepaper6	191	1416	16611	16611
syn15hfsg	399	1022	3300	3272
st_jcbpaf2	36	246	1635	1543
camshape400	2000	7188	16768	16768
graphpart_clique-30	120	2790	114505	91153
graphpart_clique-70	280	14910	1413012	1144894
smallinvDAXr1b010-011	39	1120	13510	13319
nd_netgen-2000-3-4-b-a-ns_7	22074	60000	289420	273394
slay05m	240	720	2635	2635
chimera_selby-c16-01	2031	10964	3605628	2419538
csched1	110	376	975	975
watercontamination0303r	1310	37028	2171882	2171882
ex9_2_4	15	36	117	117
sssd15-04	163	440	1625	1625
autocorr_bern35-35fix	38	1264	16214	16214
sfacloc2_4_90	1491	4500	31682	28843
cont6-qq	120395	557994	835894090	581918900
meanvar-orl400_05_e_7	5205	174804	21939414	21935811
glider400	10017	49624	373018	327461
syn40m04m	4960	13792	65982	63265
ex2_1_3	31	72	189	189
qapw	705	87496	12183146	12183146
himmel11	14	60	198	198
syn15m04m	1908	5288	26094	25061
pooling_rt2tp	118	654	5876	5796
waterund14	333	2204	200484	72184
crudeoil_lee4_10	17809	120632	294531623	178533850
pooling_foulds4pq	1294	8302	138692	138540
edgecross14-156	3097	19664	1487933	1376964
tspn08	72	668	11074	7600
crudeoil_li05	4225	14628	680022	533531
procurement1large	14416	41068	13858240	7376882
blend721	1428	4548	77560	66143
chimera_selby-c16-02	2031	10878	4280329	2298651
supplychainr1_053050	16640	57800	2173490	2173490
sfacloc2_4_80	5067	21424	93048	88884
st_e24	10	26	64	57
edgecross10-040	1053	5116	161851	143518
sonet21v6	8232	40744	1643311	1585871
squfl010-080	2490	6400	27665	27665
genpooling_lee2	221	1048	19895	14028
popdynm25	2807	13904	360081	286812
chp_partload	5211	16740	509170	373134
qspp_0_14_0_1_10_1	560	120274	16119226	16038266
st_glmp_ss1	24	66	160	160
torsion50	2508	29808	1691033	1119054
st_rv2	40	340	2045	2045
emfl100_3_3	6885	15948	55506	55506
pedigree_sim400	351	23546	1183471	1183168
polygon75	5846	49652	1171822	1171822
gabriel10	244056	1148210	1365442310	1267760679
fo9_ar25_1	1049	4336	41668	38237
rsyn0840m	1159	3168	11274	10602
gancns	548	2800	69234	58861
o9_ar4_1	1049	4336	41668	38237
ex1265a	123	560	3948	3750
ex9_2_6	28	68	190	190
qspp_0_13_0_1_10_1	481	88522	10150185	10097446
slay04m	146	432	1554	1554
st_e25	20	92	336	262
ex8_4_1	32	100	225	225
st_e07	19	60	199	199
ex1225	26	66	171	161
ndcc13	969	5882	525212	324727
syn10m04m	1224	3384	13501	13473
ex5_2_4	18	62	204	193
st_m2	72	1226	16331	16331
st_bpk1	16	44	115	108
multiplants_stg1	736	3594	197998	155496
powerflow0300p	11251	41918	304705	292256
nd_netgen-3000-1-1-b-b-ns_7	33155	90000	922197	885186
sonet23v4	803	6462	139703	94348
pooling_sppa0pq	1649	24192	3745896	1214182
multiplants_mtg1b	645	4404	229415	152043
sssd18-08persp	338	1168	4654	4654
ex9_1_2	19	54	188	179
crudeoil_lee1_07	3670	19322	4746188	3506464
pooling_haverly1tp	31	96	423	403
waterund08	230	1290	35284	30110
kall_diffcircles_6	76	302	1511	1511
chimera_mgw-c8-439-onc8-001	440	3040	106479	80090
waterund11	160	828	14818	10705
chp_shorttermplan2d	16364	52108	4089003	1997381
sporttournament18	156	886	17568	13608
cvxnonsep_psig30	30	870	9455	9455
ringpack_20_2	6089	40368	1872174	707413
blend718	1386	4310	70355	61466
wastepaper4	115	724	9711	7183
squfl010-040persp	2450	7200	22825	22825
crudeoil_lee4_06	10429	55492	65337120	32564806
netmod_kar1	1746	4928	56838	43864
ex8_1_7	14	46	137	128
graphpart_3g-0333-0333	108	648	44928	36228
slay05h	760	2080	9815	8795
korcns	156	712	7241	6599
powerflow0118p	5065	18730	121503	117327
sfacloc2_3_80	4799	20600	84672	81119
rsyn0820m04m	6028	17372	196890	152980
hydroenergy1	1046	3024	14089	14089
maxmin	181	1440	8405	8405
st_ht	8	18	51	44
crudeoil_lee2_06	6418	34646	23299675	16292510
kan_r3_h1_n4	3183	14062	104945	98715
primary	378	5610	109639	95258
syn10m03hfsg	1071	2772	9890	9812
wastewater02m1	36	138	848	790
supplychainr1_022020	4620	15680	273140	273100
squfl025-025persp	3800	11250	49925	49925
ringpack_30_2	17999	121458	12394600	2873684
nuclear104	39098	257806	103156931	78332024
chp_shorttermplan1a	4952	15700	376486	299825
rocket50	555	3488	19983	19265
rsyn0840m04m	8508	24272	229914	185120
