# Acceptance boundary extracted from the public submission ledger
# source: `yukon submissions --all` (layr-labs/matrices-fast), fetched this iteration;
# 656 receipts on the board: 415 failed / 131 rejected / 93 promoted / 16 cancelled / 1 validating
# 'diff' = score delta vs the frontier at submission time, as printed by the CLI.
# A receipt is PROMOTED only when the delta is negative enough; the boundary sits between
# -0.000079 (rejected) and -0.000087 (promoted). Small real gains are rejected all the way to -0.000024.

## promoted, ranked by the smallest accepted improvement (delta < 0)
  -0.0000870  promoted  score=  0.84349  723bf79   solver=jonathan308  commit=74b6ccd   9/9/26, 6:06 AM
  -0.0000900  promoted  score= 0.841768  e07fe7a   solver=newjordan    commit=475be33   9/12/26, 7:30 PM
  -0.0000910  promoted  score= 0.859834  1a4183b   solver=dukemawex    commit=a2614af   9/6/26, 9:27 AM
  -0.0000950  promoted  score= 0.876991  a778968   solver=hybridnoise  commit=9ec9816   9/3/26, 3:34 AM
  -0.0000960  promoted  score= 0.860113  4bbe2d0   solver=dukemawex    commit=386b89b   9/6/26, 6:03 AM
  -0.0001020  promoted  score= 0.841666  83a8f4f   solver=newjordan    commit=a26c201   9/12/26, 9:43 PM
  -0.0001030  promoted  score= 0.869723  bd45129   solver=dukemawex    commit=c3fae01   9/5/26, 12:57 AM
  -0.0001090  promoted  score= 0.843972  f96c520   solver=rcwrightiii  commit=2c164e0   9/8/26, 11:35 PM
  -0.0001140  promoted  score= 0.876877  de9fa5a   solver=dun999       commit=dd06965   9/3/26, 7:53 AM
  -0.0001160  promoted  score= 0.861364  4097027   solver=gdonninelli  commit=b739e8c   9/6/26, 2:10 AM
  -0.0001220  promoted  score= 0.877251  a09a467   solver=newjordan    commit=4a994e6   9/3/26, 12:46 AM
  -0.0001300  promoted  score= 0.853001  316c980   solver=gdonninelli  commit=aa5b471   9/7/26, 5:27 AM
  -0.0001330  promoted  score= 0.881683  7c25e77   solver=newjordan    commit=216fd62   9/2/26, 4:55 PM
  -0.0001340  promoted  score= 0.843577  83a9250   solver=jonathan308  commit=be9bae1   9/9/26, 12:12 AM

## rejected although it improved (delta < 0)
  -0.0000790  rejected  score= 0.844449  6d8cf85   solver=jonathan308  commit=b9e4df9   9/8/26, 6:57 PM
  -0.0000770  rejected  score=   0.8435  e5dcd69   solver=rcwrightiii  commit=819d4ff   9/9/26, 5:22 AM
  -0.0000730  rejected  score= 0.843417  00d74e4   solver=jonathan308  commit=416dd85   9/9/26, 10:40 AM
  -0.0000730  rejected  score= 0.843417  cbaa7b4   solver=jonathan308  commit=b7d7094   9/9/26, 8:05 AM
  -0.0000730  rejected  score= 0.843417  fa75759   solver=jonathan308  commit=2837568   9/9/26, 6:47 AM
  -0.0000730  rejected  score= 0.850667  46f3ee4   solver=rcwrightiii  commit=a4059e8   9/7/26, 3:52 PM
  -0.0000690  rejected  score= 0.844012  671fd35   solver=jonathan308  commit=a11ea70   9/8/26, 11:28 PM
  -0.0000690  rejected  score= 0.844012  d2ec3ae   solver=jonathan308  commit=eaafd78   9/8/26, 10:35 PM
  -0.0000640  rejected  score= 0.877631  d6f2a2d   solver=hybridnoise  commit=b3ffe96   9/3/26, 12:09 AM
  -0.0000610  rejected  score= 0.877025  3a549ee   solver=newjordan    commit=6b68e67   9/3/26, 1:10 AM
  -0.0000600  rejected  score= 0.843517  c27e1f1   solver=jonathan308  commit=0a1bb44   9/9/26, 5:52 AM
  -0.0000570  rejected  score= 0.871182  bd4b051   solver=jtaroreh     commit=bcd30fb   9/4/26, 2:54 AM
  -0.0000540  rejected  score= 0.870978  a30dc6c   solver=jtaroreh     commit=0cad437   9/4/26, 10:16 AM
  -0.0000520  rejected  score= 0.860061  69be95b   solver=newjordan    commit=42bb402   9/6/26, 8:01 AM

## promoted on 9/11-9/12 only (the frontier chain this lane is competing inside)
  4e45ee6   score= 0.842716 diff=-0.0001410 solver=newjordan    commit=7fd61df   9/12/26, 10:00 AM
  78c434c   score= 0.841502 diff=-0.0001640 solver=mitchuski    commit=7df69b9   9/12/26, 10:52 PM
  c5e6c2f   score= 0.842526 diff=-0.0001900 solver=linson007    commit=fb35d11   9/12/26, 12:35 PM
  07f0e8a   score= 0.842377 diff=-0.0001490 solver=linson007    commit=52affcb   9/12/26, 1:32 PM
  fe4f40c   score= 0.841858 diff=-0.0005190 solver=newjordan    commit=256152b   9/12/26, 4:54 PM
  e07fe7a   score= 0.841768 diff=-0.0000900 solver=newjordan    commit=475be33   9/12/26, 7:30 PM
  83a8f4f   score= 0.841666 diff=-0.0001020 solver=newjordan    commit=a26c201   9/12/26, 9:43 PM
