# iter54 dead-row census: plain min-degree vs the probe's recorded AMD value
row	n	edges	amd	mindeg	mcs	mindeg_delta	mcs_delta	md_fill	mcs_fill	nnzL_amd_implied
emfl100_5_5	21925	26150	221650	221650	333300	+0.000000	+0.503722	14225	31075	-
squfl030-150	13680	18000	252605	252605	4590605	+0.000000	+17.173057	9435	144435	-
supplychainr1_053050	16640	28900	2173490	2173490	9049430460	+0.000000	+4162.548238	31650	4623250	-
emfl050_5_5	13175	16150	155400	155400	225800	+0.000000	+0.453024	9225	19825	-
squfl020-150	9170	12000	135020	135020	1467020	+0.000000	+9.865205	6190	66190	-
squfl015-080persp	7295	10800	74520	74520	418920	+0.000000	+4.621578	2505	25305	-
emfl100_3_3	6885	7974	55506	55506	88932	+0.000000	+0.602205	4113	9171	-
squfl025-025persp	3800	5625	49925	49925	491800	+0.000000	+8.850776	1550	19675	-
squfl015-060	2775	3600	36400	36400	269500	+0.000000	+6.403846	1905	15405	-
squfl010-080	2490	3200	27665	27665	126865	+0.000000	+3.585758	1645	9645	-
squfl025-030	2305	3000	42305	42305	551555	+0.000000	+12.037584	1800	20550	-
squfl010-040persp	2450	3600	22825	22825	83625	+0.000000	+2.663746	845	6445	-
chain400	1201	2398	16382	16382	43643166	+0.000000	+2663.092663	799	160797	-
hydroenergy1	1046	1512	14089	14905	584385	+0.057918	+40.478103	933	8889	-
