# iter54: min-fill exact-greedy + 8 jittered min-degree restarts vs recorded AMD
row	n	amd	minfill	delta_minfill	best_rand	delta_best	reverse	delta_rev
chain400	1201	16382	16382	+0.000000	18125	+0.106397	43805550	+2673.005005
hydroenergy1	1046	14089	20391	+0.447299	15104	+0.072042	110595656	+7848.787494
squfl010-040persp	2450	22825	60946	+1.670142	22825	+0.000000	1769397397	+77519.148828
squfl015-060	2775	36400	157881	+3.337390	36400	+0.000000	997940145	+27414.938049
squfl010-080	2490	27665	256686	+8.278366	27665	+0.000000	713867650	+25802.999639
squfl025-030	2305	42305	71131	+0.681385	42305	+0.000000	571013590	+13496.543789
emfl100_3_3	6885	55506	4498617	+80.047400	55506	+0.000000	11620902367	+209361.994397
squfl025-025persp	3800	49925	72976	+0.461713	49925	+0.000000	6576606947	+131728.733540
squfl015-080persp	7295	74520	342751	+3.599450	74520	+0.000000	47223960177	+633707.536997
squfl020-150	9170	135020	1689686	+11.514339	135020	+0.000000	36631654345	+271304.394349
emfl050_5_5	13175	155400	7078600	+44.550837	155400	+0.000000	79454326977	+511288.105386
emfl100_5_5	21925	221650	23799225	+106.372998	221650	+0.000000	375072709127	+1692183.566330
squfl030-150	13680	252605	2027791	+7.027517	252605	+0.000000	122796852105	+486121.017003
