# iter54: exact fill-free lower bound n+3E+2T vs shipped score
row	n	E	tri	bound	score	gap	gap_pct	nnzL	fill	natural
chain200	601	1198	1194	6583	8182	1599	19.5429	-	-	2735278
chain400	1201	2398	2394	13183	16382	3199	19.5275	-	-	21590578
hydroenergy1	1046	1512	414	6410	14089	7679	54.5035	-	-	14544354
slay08m	660	1008	0	3684	7796	4112	52.7450	-	-	1141324
squfl010-040persp	2450	3600	1200	15650	22825	7175	31.4348	-	-	155629890
squfl010-080	2490	3200	0	12090	27665	15575	56.2986	-	-	140613250
squfl015-060	2775	3600	0	13575	36400	22825	62.7060	-	-	213603345
squfl025-030	2305	3000	0	11305	42305	31000	73.2774	-	-	130422990
emfl100_3_3	6885	7974	0	30807	55506	24699	44.4979	-	-	459554327
squfl025-025persp	3800	5625	1875	24425	49925	25500	51.0766	-	-	627484200
emfl050_5_5	13175	16150	0	61625	155400	93775	60.3443	-	-	6155146190
squfl015-080persp	7295	10800	3600	46895	74520	27625	37.0706	-	-	4322586975
squfl020-150	9170	12000	0	45170	135020	89850	66.5457	-	-	8154133845
squfl030-150	13680	18000	0	67680	252605	184925	73.2072	-	-	28437997605
emfl100_5_5	21925	26150	0	100375	221650	121275	54.7146	-	-	21312002015
supplychainr1_053050	16640	28900	0	103340	2173490	2070150	95.2454	-	-	41582011265
kissing2	20772	200512	3710874	8044056	156414018	148369962	94.8572	-	-	374030609356
oil	3270	4215	1302	18519	-	-	-	-	-	32862975
ndcc12	974	2991	1656	13259	-	-	-	-	-	2405935
