# iter54: (degree, exact fill) lexicographic greedy
row	n	amd	deg_fill	delta	tri_free
chain200	601	8182	8182	+0.000000	-
chain400	1201	16382	16382	+0.000000	-
hydroenergy1	1046	14089	14301	+0.015047	-
squfl010-040persp	2450	22825	22825	+0.000000	-
squfl010-080	2490	27665	27665	+0.000000	-
squfl015-060	2775	36400	36400	+0.000000	-
squfl025-030	2305	42305	42305	+0.000000	-
emfl100_3_3	6885	55506	55506	+0.000000	-
squfl025-025persp	3800	49925	49925	+0.000000	-
squfl015-080persp	7295	74520	74520	+0.000000	-
squfl020-150	9170	135020	135020	+0.000000	-
emfl050_5_5	13175	155400	155400	+0.000000	-
emfl100_5_5	21925	221650	221650	+0.000000	-
squfl030-150	13680	252605	252605	+0.000000	-
