rows 300 300
corpus wall: 4G 147.8 s   2G 144.9 s   (delta +2.9 s)
rows moved (ratio or >5 ms): 137  |  ratio improved: 3  worse: 0

   dtime     dratio    t_4G    t_2G     nnz  name (n)
   0.188    -0.0067   1.448   1.260  120632  crudeoil_lee4_10 (n=17809)
   0.167     0.0000   1.348   1.181   37208  arki0016 (n=7993)
   0.166    -0.0006   1.331   1.165  252910  gams05 (n=17364)
   0.156    -0.0036   1.344   1.189  101792  crudeoil_lee4_09 (n=15904)
   0.109     0.0000   0.623   0.514   16896  syn40m04hfsg (n=6328)
   0.105     0.0000   1.114   1.009   52108  chp_shorttermplan2d (n=16364)
   0.102     0.0000   0.445   0.344    1168  sssd18-08persp (n=338)
   0.083     0.0000   1.116   1.034   48446  transswitch0300p (n=11659)
   0.076     0.0000   0.655   0.579    3488  rocket50 (n=555)
   0.069     0.0000   0.737   0.668    5882  ndcc13 (n=969)
   0.065     0.0000   0.907   0.842   17098  mpbp_47 (n=5310)
   0.064     0.0000   0.840   0.775    6964  rsyn0810m02hfsg (n=2670)
   0.063     0.0000   0.777   0.714    3894  multiplants_stg1c (n=800)
   0.060     0.0000   1.046   0.985   40790  mpbp_35 (n=11120)
   0.060     0.0000   0.811   0.751   37660  mpbp_21 (n=11716)
   0.058     0.0000   0.985   0.927   19322  crudeoil_lee1_07 (n=3670)
   0.057     0.0000   0.701   0.644    9576  rsyn0840m02m (n=3486)
   0.052     0.0000   0.967   0.915   20600  sfacloc2_3_80 (n=4799)
   0.044     0.0000   0.834   0.789   15140  chimera_rfr-02 (n=2032)
   0.044     0.0000   0.878   0.834    6236  hydroenergy2 (n=2092)

time cost of the ledger step on the biggest rows:
     0.188    -0.0067   1.448   1.260  crudeoil_lee4_10 (n=17809 nnz=120632)
     0.015     0.0000   1.419   1.405  chimera_selby-c16-02 (n=2031 nnz=10878)
     0.020     0.0000   1.394   1.374  chimera_selby-c16-01 (n=2031 nnz=10964)
     0.167     0.0000   1.348   1.181  arki0016 (n=7993 nnz=37208)
     0.156    -0.0036   1.344   1.189  crudeoil_lee4_09 (n=15904 nnz=101792)
     0.043     0.0000   1.339   1.296  crudeoil_pooling_ct3 (n=2644 nnz=11426)
     0.166    -0.0006   1.331   1.165  gams05 (n=17364 nnz=252910)
     0.016     0.0000   1.220   1.204  ringpack_30_2 (n=17999 nnz=121458)
     0.038     0.0000   1.162   1.124  crudeoil_lee4_06 (n=10429 nnz=55492)
     0.083     0.0000   1.116   1.034  transswitch0300p (n=11659 nnz=48446)
     0.105     0.0000   1.114   1.009  chp_shorttermplan2d (n=16364 nnz=52108)
     0.031     0.0000   1.086   1.055  popdynm200 (n=22407 nnz=105584)
