rows 300
total order() wall: OFF 148.5 s  ON 147.8 s (-0.7 s)
ratio rows differing: 0 of 300

--- biggest savings (ON - OFF) ---
   dtime    t_off     t_on     nnz  name
  -0.269    1.029    0.760   52300  emfl100_5_5 (n=21925)
  -0.258    1.081    0.823   60000  nd_netgen-2000-3-4-b-a-ns_7 (n=22074)
  -0.255    1.241    0.986   75636  gasprod_sarawak81 (n=22536)
  -0.236    1.274    1.039   97990  pinene200 (n=19995)
  -0.197    1.358    1.162   55492  crudeoil_lee4_06 (n=10429)
  -0.159    0.840    0.680   57800  supplychainr1_053050 (n=16640)
  -0.158    0.905    0.747   82242  faclay30 (n=16678)
  -0.135    1.137    1.002   41068  procurement1large (n=14416)
  -0.061    0.846    0.785  151728  methanol400 (n=23999)
  -0.057    0.960    0.903   89702  gabriel09 (n=21688)
  -0.055    0.658    0.603   14062  kan_r3_h1_n4 (n=3183)
  -0.050    0.705    0.655    7200  squfl010-040persp (n=2450)
  -0.049    0.412    0.364   32300  emfl050_5_5 (n=13175)
  -0.047    1.008    0.961   75910  crudeoil_pooling_dt2 (n=18742)
  -0.046    0.818    0.773   13836  rsyn0810m04m (n=4772)
  -0.042    0.489    0.447   49624  glider400 (n=10017)

--- biggest regressions ---
   0.061    0.846    0.907   17098  mpbp_47 (n=5310)
   0.062    0.778    0.840    6964  rsyn0810m02hfsg (n=2670)
   0.065    0.712    0.777    3894  multiplants_stg1c (n=800)
   0.073    0.665    0.737    5882  ndcc13 (n=969)
   0.079    0.576    0.655    3488  rocket50 (n=555)
   0.099    0.524    0.623   16896  syn40m04hfsg (n=6328)
   0.104    0.341    0.445    1168  sssd18-08persp (n=338)
   0.150    1.198    1.348   37208  arki0016 (n=7993)

rows with t_off >= 0.5 s:
    -0.038    1.486    1.448  crudeoil_lee4_10 (n=17809 nnz=120632)
     0.014    1.405    1.419  chimera_selby-c16-02 (n=2031 nnz=10878)
     0.020    1.374    1.394  chimera_selby-c16-01 (n=2031 nnz=10964)
    -0.197    1.358    1.162  crudeoil_lee4_06 (n=10429 nnz=55492)
    -0.000    1.345    1.344  crudeoil_lee4_09 (n=15904 nnz=101792)
     0.034    1.304    1.339  crudeoil_pooling_ct3 (n=2644 nnz=11426)
     0.027    1.304    1.331  gams05 (n=17364 nnz=252910)
    -0.236    1.274    1.039  pinene200 (n=19995 nnz=97990)
    -0.041    1.261    1.220  ringpack_30_2 (n=17999 nnz=121458)
    -0.255    1.241    0.986  gasprod_sarawak81 (n=22536 nnz=75636)
     0.150    1.198    1.348  arki0016 (n=7993 nnz=37208)
    -0.041    1.157    1.116  transswitch0300p (n=11659 nnz=48446)
    -0.135    1.137    1.002  procurement1large (n=14416 nnz=41068)
    -0.258    1.081    0.823  nd_netgen-2000-3-4-b-a-ns_7 (n=22074 nnz=60000)
     0.035    1.079    1.114  chp_shorttermplan2d (n=16364 nnz=52108)
     0.014    1.072    1.086  popdynm200 (n=22407 nnz=105584)
    -0.001    1.050    1.049  chp_partload (n=5211 nnz=16740)
     0.026    1.031    1.058  crudeoil_lee2_06 (n=6418 nnz=34646)
    -0.269    1.029    0.760  emfl100_5_5 (n=21925 nnz=52300)
     0.020    1.026    1.046  mpbp_35 (n=11120 nnz=40790)
    -0.004    1.021    1.017  rsyn0805m03m (n=2868 nnz=8270)
    -0.012    1.018    1.006  powerflow0300p (n=11251 nnz=41918)
    -0.008    1.012    1.005  nuclear10a (n=17493 nnz=163816)
    -0.047    1.008    0.961  crudeoil_pooling_dt2 (n=18742 nnz=75910)
    -0.031    0.970    0.939  mpbp_07 (n=9532 nnz=30810)
    -0.057    0.960    0.903  gabriel09 (n=21688 nnz=89702)
     0.001    0.959    0.960  rsyn0840m04m (n=8508 nnz=24272)
    -0.010    0.943    0.932  mpbp_15 (n=9858 nnz=31692)
     0.026    0.941    0.967  sfacloc2_3_80 (n=4799 nnz=20600)
     0.010    0.938    0.949  powerflow0118p (n=5065 nnz=18730)
     0.060    0.925    0.985  crudeoil_lee1_07 (n=3670 nnz=19322)
     0.011    0.911    0.922  gasprod_sarawak16 (n=4596 nnz=15316)
    -0.003    0.908    0.905  squfl015-060 (n=2775 nnz=7200)
    -0.158    0.905    0.747  faclay30 (n=16678 nnz=82242)
     0.021    0.877    0.898  sfacloc2_4_80 (n=5067 nnz=21424)
     0.012    0.866    0.878  hydroenergy2 (n=2092 nnz=6236)
    -0.003    0.859    0.856  rsyn0815m04m (n=5456 nnz=15756)
     0.019    0.847    0.866  nuclear104 (n=39098 nnz=257806)
    -0.061    0.846    0.785  methanol400 (n=23999 nnz=151728)
     0.061    0.846    0.907  mpbp_47 (n=5310 nnz=17098)
    -0.159    0.840    0.680  supplychainr1_053050 (n=16640 nnz=57800)
     0.020    0.827    0.847  popdynm25 (n=2807 nnz=13904)
    -0.046    0.818    0.773  rsyn0810m04m (n=4772 nnz=13836)
    -0.005    0.815    0.809  batchs201210m (n=5188 nnz=17910)
     0.015    0.812    0.827  waste (n=4825 nnz=21504)
     0.009    0.810    0.819  arki0013 (n=44909 nnz=160172)
    -0.031    0.810    0.779  rsyn0830m04m (n=7252 nnz=20752)
    -0.028    0.802    0.773  mpbp_34 (n=11556 nnz=40860)
     0.040    0.794    0.834  chimera_rfr-02 (n=2032 nnz=15140)
    -0.033    0.791    0.758  edgecross24-115 (n=16747 nnz=77352)
     0.026    0.785    0.811  mpbp_21 (n=11716 nnz=37660)
     0.009    0.784    0.794  chimera_k64ising-02 (n=1225 nnz=3846)
     0.009    0.782    0.792  chp_shorttermplan1a (n=4952 nnz=15700)
     0.008    0.779    0.787  rsyn0820m04m (n=6028 nnz=17372)
     0.038    0.779    0.817  crudeoil_li05 (n=4225 nnz=14628)
     0.062    0.778    0.840  rsyn0810m02hfsg (n=2670 nnz=6964)
    -0.003    0.775    0.772  mpbp_48 (n=28368 nnz=91016)
     0.030    0.774    0.804  multiplants_stg1b (n=814 nnz=3992)
    -0.029    0.761    0.732  crudeoil_pooling_dt3 (n=30660 nnz=152210)
    -0.003    0.752    0.750  nuclear25a (n=1942 nnz=16030)
    -0.015    0.737    0.722  methanol200 (n=11999 nnz=76128)
     0.007    0.735    0.742  syn40m04m (n=4960 nnz=13792)
     0.019    0.730    0.749  squfl010-080 (n=2490 nnz=6400)
     0.003    0.728    0.731  rsyn0820m02m (n=2486 nnz=6932)
     0.017    0.728    0.745  multiplants_mtg1b (n=645 nnz=4404)
    -0.014    0.727    0.713  sporttournament48 (n=1131 nnz=6676)
     0.023    0.724    0.747  multiplants_stg1 (n=736 nnz=3594)
    -0.012    0.723    0.710  kall_circlespolygons_c1p5b (n=1681 nnz=7432)
     0.017    0.722    0.739  chimera_mgw-c16-2031-01 (n=2032 nnz=15900)
    -0.002    0.721    0.719  p_ball_30b_7p_2d_h (n=2207 nnz=7516)
     0.016    0.719    0.735  multiplants_stg1a (n=726 nnz=3510)
     0.023    0.716    0.739  multiplants_stg5 (n=827 nnz=3804)
     0.065    0.712    0.777  multiplants_stg1c (n=800 nnz=3894)
    -0.050    0.705    0.655  squfl010-040persp (n=2450 nnz=7200)
    -0.007    0.705    0.698  chp_shorttermplan2a (n=8992 nnz=26288)
    -0.026    0.703    0.677  gabriel10 (n=244056 nnz=1148210)
     0.010    0.703    0.712  batchs121208m (n=3404 nnz=11462)
     0.021    0.702    0.723  ndcc12 (n=974 nnz=5982)
     0.011    0.700    0.712  catmix400 (n=2001 nnz=11192)
     0.013    0.698    0.711  squfl025-030 (n=2305 nnz=6000)
     0.023    0.695    0.719  sonet24v5 (n=874 nnz=7260)
     0.012    0.683    0.695  crudeoil_pooling_ct1 (n=1271 nnz=4642)
    -0.040    0.679    0.638  pooling_sppc3pq (n=23173 nnz=893724)
    -0.028    0.678    0.650  squfl020-150 (n=9170 nnz=24000)
    -0.012    0.672    0.660  netmod_kar1 (n=1746 nnz=4928)
     0.015    0.666    0.681  sonet23v4 (n=803 nnz=6462)
     0.073    0.665    0.737  ndcc13 (n=969 nnz=5882)
     0.027    0.661    0.689  pooling_foulds5tp (n=1218 nnz=8364)
    -0.055    0.658    0.603  kan_r3_h1_n4 (n=3183 nnz=14062)
     0.013    0.657    0.670  pooling_sppa9tp (n=5040 nnz=121302)
    -0.004    0.657    0.653  rsyn0815m02hfsg (n=3054 nnz=7968)
     0.054    0.647    0.701  rsyn0840m02m (n=3486 nnz=9576)
    -0.017    0.635    0.618  risk2bpb (n=1462 nnz=5396)
     0.016    0.634    0.650  chimera_lga-01 (n=1120 nnz=6400)
    -0.001    0.632    0.631  mpbp_46 (n=4518 nnz=14492)
    -0.012    0.632    0.620  acopf_case9241pegase_qcqp (n=313068 nnz=1292408)
    -0.014    0.626    0.612  pooling_foulds4pq (n=1294 nnz=8302)
    -0.010    0.625    0.615  slay09h (n=2718 nnz=7488)
     0.011    0.624    0.635  qapw (n=705 nnz=87496)
     0.029    0.623    0.652  pooling_sppa0pq (n=1649 nnz=24192)
     0.004    0.606    0.610  oil (n=3270 nnz=8430)
     0.006    0.600    0.606  torsion50 (n=2508 nnz=29808)
     0.030    0.596    0.626  syn30m03m (n=2508 nnz=6804)
     0.001    0.586    0.587  ndcc12persp (n=1112 nnz=5522)
     0.035    0.582    0.617  ringpack_20_2 (n=6089 nnz=40368)
     0.025    0.579    0.604  chimera_mgw-c8-439-onc8-001 (n=440 nnz=3040)
     0.004    0.579    0.583  ringpack_20_3 (n=6709 nnz=45220)
     0.079    0.576    0.655  rocket50 (n=555 nnz=3488)
    -0.009    0.576    0.566  arki0002 (n=4432 nnz=11248)
    -0.001    0.575    0.574  kall_circlesrectangles_c6r39 (n=1306 nnz=5378)
     0.001    0.566    0.568  chimera_mgw-c8-439-onc8-002 (n=440 nnz=3038)
     0.027    0.563    0.589  pooling_foulds5pq (n=1218 nnz=8300)
     0.018    0.562    0.581  faclay75 (n=272878 nnz=1379706)
     0.002    0.558    0.560  rsyn0830hfsg (n=1590 nnz=4100)
    -0.008    0.555    0.547  sonet21v6 (n=8232 nnz=40744)
     0.025    0.553    0.578  syn30m02m (n=1492 nnz=3936)
    -0.009    0.549    0.539  pooling_sppb5pq (n=18529 nnz=674470)
    -0.004    0.546    0.542  gancns (n=548 nnz=2800)
    -0.003    0.542    0.538  transswitch2383wpr (n=59853 nnz=277562)
    -0.012    0.541    0.528  squfl030-150 (n=13680 nnz=36000)
    -0.002    0.539    0.537  supplychainr1_022020 (n=4620 nnz=15680)
     0.016    0.536    0.552  rsyn0815m (n=821 nnz=2242)
     0.010    0.535    0.545  space25a (n=634 nnz=3246)
    -0.005    0.535    0.529  maxcsp-langford-3-11 (n=660 nnz=29646)
     0.099    0.524    0.623  syn40m04hfsg (n=6328 nnz=16896)
    -0.002    0.519    0.516  faclay35 (n=26778 nnz=132380)
     0.031    0.514    0.546  clay0305hfsg (n=1000 nnz=2910)
     0.003    0.510    0.513  forest (n=713 nnz=2658)
     0.004    0.504    0.508  pooling_digabel19 (n=514 nnz=5340)
     0.003    0.501    0.504  waternd2 (n=615 nnz=2580)

rows with |dt| >= 0.02 s: 61 ; sum of negative dt: -2.91 s ; sum positive: 2.22
