name	n	nnz	wall	user	sys	minorF	majorF	maxRSS_kB	vcsw	icsw
methanol400	23999	175727	1.08	1.65	0.04	46471	0	171812	50	51
crudeoil_lee4_09	15904	117696	1.09	2.07	0.04	47483	0	95596	70	107
procurement1large	14416	55484	1.02	1.88	0.07	49212	0	65800	129	104
crudeoil_pooling_dt3	30660	182870	1.01	1.46	0.08	78270	0	269788	51	41
mpbp_48	28368	119384	0.96	1.68	0.11	97361	0	217856	84	118
nd_netgen-3000-1-1-b-b-ns_7	33155	123155	0.98	1.25	0.36	346285	0	293444	122	110
crudeoil_lee4_10	17809	138441	0.82	1.64	0.05	44865	0	105980	154	47
chimera_selby-c16-01	2031	12995	0.78	1.41	0.01	11898	0	23372	65	246
chimera_selby-c16-02	2031	12909	0.84	1.60	0.02	11693	0	23360	31	254
gams05	17364	270254	0.61	1.36	0.01	12049	0	42092	24	57
