slay06m	SAME	0.24	0.00	1301	0.23	0.00	1279
sssd25-08	SAME	0.25	0.00	1739	0.25	0.00	1635
rsyn0810m04m	SAME	0.76	0.08	64579	0.74	0.06	44635
pooling_sppc3pq	SAME	0.56	0.02	21708	0.55	0.02	21763
sporttournament48	SAME	0.58	0.01	6185	0.58	0.00	6168
pooling_sppa9pq	SAME	0.36	0.05	31311	0.36	0.04	30964
edgecross10-090	SAME	0.35	0.00	5833	0.35	0.00	5854
maxcsp-ehi-85-297-71	SAME	0.23	0.03	21025	0.22	0.02	21278
st_bpaf1a	SAME	0.23	0.00	828	0.23	0.00	817
risk2bpb	SAME	0.54	0.01	8944	0.53	0.01	8967
qap	SAME	0.18	0.01	9209	0.18	0.01	9235
rsyn0830m04m	SAME	0.74	0.04	36306	0.71	0.02	15556
lop97icx	SAME	0.27	0.01	5334	0.27	0.01	5324
chain400	SAME	0.25	0.01	5135	0.23	0.00	5177
mpbp_07	SAME	0.81	0.10	79689	0.78	0.06	43890
sonetgr17	SAME	0.40	0.01	2700	0.36	0.00	2641
p_ball_30b_7p_2d_h	SAME	0.39	0.02	11884	0.39	0.01	11848
pinene200	SAME	0.93	0.16	157564	0.79	0.05	48141
unitcommit_200_100_1_mod_8	SAME	0.40	0.05	40208	0.37	0.05	40015
ex8_3_9	SAME	0.40	0.00	2142	0.31	0.00	2136
rsyn0820m02m	SAME	0.53	0.02	14082	0.53	0.02	14084
p_ball_10b_5p_2d_m	SAME	0.27	0.00	3093	0.27	0.00	3054
pooling_adhya4tp	SAME	0.67	0.00	4056	0.43	0.01	4056
squfl015-080persp	SAME	0.45	0.03	17276	0.34	0.02	15633
edgecross10-080	SAME	0.39	0.02	5946	0.37	0.01	5934
clay0204hfsg	SAME	0.42	0.00	3242	0.36	0.01	3109
st_bsj2	SAME	0.23	0.00	519	0.19	0.00	510
chimera_mgw-c8-439-onc8-002	SAME	0.64	0.01	2696	0.50	0.00	2601
batchs201210m	SAME	0.69	0.02	25906	0.66	0.01	12141
rsyn0815m04m	SAME	0.80	0.08	66969	0.78	0.06	40364
syn40m	SAME	0.35	0.00	3117	0.35	0.00	3216
knp5-44	SAME	0.23	0.00	5876	0.23	0.01	6098
ex1263a	SAME	0.25	0.00	507	0.26	0.00	523
st_e41	SAME	0.00	0.00	126	0.00	0.00	123
squfl025-030	SAME	0.36	0.01	11311	0.36	0.01	11307
wastewater05m1	SAME	0.27	0.00	2145	0.26	0.00	2143
cvxnonsep_psig20	SAME	0.00	0.00	129	0.00	0.00	127
meanvar-orl400_05_e_8	SAME	0.22	0.01	10740	0.22	0.01	10665
st_e31	SAME	0.26	0.00	2397	0.26	0.01	2409
pooling_sppc1pq	SAME	0.41	0.03	28436	0.41	0.03	28431
pooling_haverly1pq	SAME	0.24	0.00	799	0.23	0.00	794
graphpart_3g-0244-0244	SAME	0.28	0.00	4455	0.28	0.00	4443
graphpart_clique-20	SAME	0.28	0.01	2397	0.28	0.00	2385
mpbp_48	SAME	0.99	0.10	97366	0.98	0.11	97366
pooling_sppb5pq	SAME	0.50	0.04	28968	0.41	0.03	28997
slay07m	SAME	0.28	0.00	2019	0.26	0.00	1899
nvs19	SAME	0.19	0.00	995	0.19	0.00	993
oil	SAME	0.54	0.04	42174	0.53	0.05	32070
squfl015-060	SAME	0.42	0.02	15791	0.39	0.04	15789
ndcc12persp	SAME	0.56	0.01	6329	0.48	0.01	6346
kissing2	SAME	0.42	0.03	20990	0.46	0.03	20993
nuclear25a	SAME	1.05	0.02	10453	0.77	0.02	9487
clay0204m	SAME	0.68	0.00	907	0.25	0.00	899
st_ph13	SAME	0.26	0.00	841	0.19	0.00	833
edgecross10-030	SAME	0.44	0.01	5948	0.74	0.01	5940
chain200	SAME	0.92	0.00	2445	1.73	0.00	2419
ex1223b	SAME	0.35	0.00	360	0.23	0.00	354
slay09h	SAME	0.36	0.02	16120	0.38	0.02	16129
ndcc12	SAME	0.71	0.01	5737	0.65	0.01	5724
kall_circlesrectangles_c6r39	SAME	0.45	0.01	7334	0.51	0.01	7326
squfl020-150	SAME	0.48	0.07	45232	0.42	0.02	19828
autocorr_bern40-30	SAME	0.00	0.00	138	0.00	0.00	133
slay08m	SAME	0.31	0.00	2848	0.30	0.00	2627
chimera_mgw-c16-2031-01	SAME	0.68	0.02	8516	0.67	0.01	9050
forest	SAME	0.44	0.00	4397	0.43	0.00	4197
qspp_0_10_0_1_10_1	SAME	0.19	0.00	7687	0.19	0.01	7371
st_ph1	SAME	0.20	0.00	402	0.20	0.00	396
elf	SAME	0.27	0.00	1101	0.26	0.00	1073
ex3_1_3	SAME	0.19	0.00	290	0.19	0.00	286
cvxnonsep_normcon40r	SAME	0.00	0.00	133	0.00	0.00	131
demo7	SAME	0.27	0.00	1531	0.27	0.00	1524
waternd2	SAME	0.46	0.00	3596	0.45	0.01	3597
prolog	SAME	0.29	0.00	701	0.28	0.00	754
ex14_1_8	SAME	0.17	0.00	261	0.17	0.00	252
faclay75	SAME	0.17	0.02	24216	0.15	0.02	24213
st_qpk3	SAME	0.19	0.00	1116	0.19	0.00	1098
mpbp_34	SAME	0.91	0.10	87123	0.82	0.06	42213
cvxnonsep_normcon20r	SAME	0.00	0.00	129	0.00	0.00	126
cvxnonsep_psig20r	SAME	0.00	0.00	132	0.00	0.00	125
crudeoil_pooling_dt2	SAME	1.02	0.07	48539	1.04	0.06	49938
rsyn0805m03m	SAME	0.68	0.02	16008	0.68	0.03	15987
st_iqpbk1	SAME	0.00	0.00	129	0.00	0.00	123
waterund01	SAME	0.30	0.00	1247	0.29	0.00	1243
pointpack04	SAME	0.21	0.00	366	0.21	0.00	365
st_e22	SAME	0.15	0.00	362	0.15	0.00	359
faclay30	SAME	0.56	0.11	116043	0.45	0.04	37608
arki0002	SAME	0.56	0.03	26945	0.55	0.02	12529
transswitch0300p	SAME	0.88	0.05	42832	0.86	0.04	38840
crudeoil_pooling_dt3	SAME	1.03	0.10	78298	1.02	0.08	78270
gasprod_sarawak81	SAME	0.79	0.20	207657	0.73	0.09	67195
maxcsp-langford-3-11	SAME	0.50	0.01	8772	0.48	0.01	8627
p_ball_30b_5p_2d_h	SAME	0.49	0.02	9270	0.51	0.01	9258
ringpack_20_3	SAME	0.64	0.06	40607	0.64	0.07	36642
waste	SAME	0.96	0.04	22715	0.96	0.02	11398
catmix400	SAME	0.80	0.04	27339	0.79	0.04	24855
rsyn0815m02hfsg	SAME	0.68	0.05	35114	0.56	0.03	26625
p_ball_10b_7p_3d_h	SAME	0.37	0.00	6991	0.37	0.01	7000
chimera_k64ising-02	SAME	0.75	0.01	6953	0.74	0.01	6967
batchs121208m	SAME	0.77	0.02	20238	0.70	0.01	9708
nvs02	SAME	0.18	0.00	267	0.17	0.00	264
wastepaper6	SAME	0.29	0.00	838	0.28	0.00	834
syn15hfsg	SAME	0.30	0.00	2386	0.28	0.00	2431
st_jcbpaf2	SAME	0.24	0.00	997	0.23	0.00	976
camshape400	SAME	0.06	0.00	253	0.00	0.00	249
graphpart_clique-30	SAME	0.38	0.00	1053	0.32	0.00	1050
graphpart_clique-70	SAME	0.29	0.00	4265	0.29	0.00	4033
smallinvDAXr1b010-011	SAME	0.28	0.00	2085	0.37	0.00	2081
nd_netgen-2000-3-4-b-a-ns_7	SAME	0.74	0.22	192855	0.55	0.09	59234
slay05m	SAME	0.27	0.00	894	0.25	0.00	900
chimera_selby-c16-01	SAME	0.85	0.01	11864	0.80	0.02	9431
csched1	SAME	0.37	0.00	565	0.38	0.00	559
watercontamination0303r	SAME	0.52	0.01	5475	0.16	0.01	5401
ex9_2_4	SAME	0.59	0.00	267	0.90	0.00	266
sssd15-04	SAME	0.52	0.00	723	0.41	0.00	700
autocorr_bern35-35fix	SAME	0.80	0.00	138	0.00	0.00	134
sfacloc2_4_90	SAME	0.43	0.04	9027	0.39	0.01	9009
cont6-qq	SAME	0.32	0.05	33503	0.25	0.04	33138
meanvar-orl400_05_e_7	SAME	0.17	0.01	12369	0.16	0.01	11839
glider400	SAME	0.36	0.03	36968	0.36	0.05	33070
syn40m04m	SAME	0.72	0.07	67855	0.69	0.04	46129
ex2_1_3	SAME	0.22	0.00	371	0.22	0.00	350
qapw	SAME	0.45	0.01	8772	0.44	0.01	8490
himmel11	SAME	0.17	0.00	281	0.17	0.00	279
syn15m04m	SAME	0.46	0.01	12558	0.46	0.02	12557
pooling_rt2tp	SAME	0.25	0.00	1606	0.24	0.00	1607
waterund14	SAME	0.37	0.00	2143	0.36	0.00	2131
crudeoil_lee4_10	SAME	0.84	0.05	44959	0.88	0.05	45174
pooling_foulds4pq	SAME	0.53	0.02	7326	0.51	0.01	7326
edgecross14-156	SAME	0.31	0.02	15039	0.30	0.01	7435
tspn08	SAME	0.24	0.00	2198	0.24	0.00	2197
crudeoil_li05	SAME	0.71	0.02	26710	0.68	0.01	11402
procurement1large	SAME	1.03	0.06	49101	1.01	0.04	43216
blend721	SAME	0.37	0.01	8426	0.36	0.00	8479
chimera_selby-c16-02	SAME	0.86	0.02	11580	0.84	0.01	9170
supplychainr1_053050	SAME	0.26	0.05	33990	0.26	0.05	33985
sfacloc2_4_80	SAME	0.67	0.03	24664	0.65	0.01	11808
st_e24	SAME	0.15	0.00	216	0.16	0.00	207
edgecross10-040	SAME	0.36	0.01	6002	0.34	0.01	5999
sonet21v6	SAME	0.49	0.07	62853	0.46	0.06	44944
squfl010-080	SAME	0.35	0.02	13076	0.31	0.01	13074
genpooling_lee2	SAME	0.33	0.00	4160	0.27	0.00	4267
popdynm25	SAME	0.74	0.01	18403	0.73	0.02	11358
chp_partload	SAME	1.10	0.04	35637	0.84	0.01	12070
qspp_0_14_0_1_10_1	SAME	0.32	0.01	9960	0.31	0.02	10745
st_glmp_ss1	SAME	0.20	0.00	361	0.19	0.00	354
torsion50	SAME	0.54	0.01	9444	0.53	0.01	10204
st_rv2	SAME	0.27	0.00	401	0.25	0.00	408
emfl100_3_3	SAME	0.34	0.09	62723	0.26	0.06	52078
pedigree_sim400	SAME	0.23	0.02	6088	0.17	0.01	5212
polygon75	SAME	0.00	0.00	813	0.00	0.00	810
gabriel10	SAME	0.52	0.07	50756	0.47	0.06	50750
fo9_ar25_1	SAME	0.37	0.01	5778	0.35	0.01	5777
rsyn0840m	SAME	0.40	0.00	6492	0.39	0.01	6534
gancns	SAME	0.49	0.00	3300	0.48	0.00	3323
o9_ar4_1	SAME	0.34	0.01	5825	0.33	0.00	5772
ex1265a	SAME	0.31	0.00	2492	0.30	0.00	2508
ex9_2_6	SAME	0.22	0.00	331	0.22	0.00	364
qspp_0_13_0_1_10_1	SAME	0.23	0.01	8359	0.23	0.01	8595
slay04m	SAME	0.23	0.00	629	0.22	0.00	639
st_e25	SAME	0.19	0.00	777	0.19	0.00	752
ex8_4_1	SAME	0.24	0.00	369	0.24	0.00	385
st_e07	SAME	0.22	0.00	293	0.22	0.00	284
ex1225	SAME	0.22	0.00	434	0.22	0.00	479
ndcc13	SAME	0.74	0.00	5485	0.73	0.01	5493
syn10m04m	SAME	0.35	0.01	6946	0.35	0.01	6969
ex5_2_4	SAME	0.23	0.00	406	0.22	0.00	404
st_m2	SAME	0.24	0.00	525	0.22	0.00	511
st_bpk1	SAME	0.21	0.00	779	0.20	0.00	767
multiplants_stg1	SAME	0.67	0.00	4623	0.65	0.01	4641
powerflow0300p	SAME	1.13	0.10	84505	1.67	0.06	42144
nd_netgen-3000-1-1-b-b-ns_7	SAME	1.51	0.35	346444	0.74	0.14	111426
sonet23v4	SAME	0.65	0.00	4579	0.63	0.00	4563
pooling_sppa0pq	SAME	0.61	0.01	7455	0.59	0.02	6960
multiplants_mtg1b	SAME	0.71	0.00	3658	0.76	0.01	3852
sssd18-08persp	SAME	0.27	0.00	1305	0.27	0.00	1286
ex9_1_2	SAME	0.25	0.00	551	0.23	0.00	569
crudeoil_lee1_07	SAME	0.90	0.02	21423	0.87	0.01	9115
pooling_haverly1tp	SAME	0.25	0.00	822	0.26	0.00	817
waterund08	SAME	0.28	0.00	3304	0.27	0.00	3303
kall_diffcircles_6	SAME	0.20	0.00	451	0.20	0.00	448
chimera_mgw-c8-439-onc8-001	SAME	0.51	0.00	2597	0.50	0.01	2596
waterund11	SAME	0.30	0.00	4025	0.30	0.00	4017
chp_shorttermplan2d	SAME	0.90	0.07	61962	0.89	0.06	54178
sporttournament18	SAME	0.35	0.00	3061	0.34	0.00	3060
cvxnonsep_psig30	SAME	0.00	0.00	134	0.00	0.00	128
ringpack_20_2	SAME	0.50	0.04	36411	0.49	0.04	33033
