--- every order() call, slowest first (TSV) ---
secs	matrix	n	nnz	ratio
1.7081	rsyn0840m04m	8508	24272	0.8056
1.6329	rsyn0830m04m	7252	20752	0.8085
1.5843	arki0016	7993	37208	0.9508
1.5496	rsyn0820m04m	6028	17372	0.7758
1.4914	mpbp_15	9858	31692	0.7765
1.4580	mpbp_07	9532	30810	0.9120
1.2324	crudeoil_lee2_06	6418	34646	0.6817
1.1269	syn40m04hfsg	6328	16896	0.9645
1.0228	sonet21v6	8232	40744	0.9650
1.0018	squfl020-150	9170	24000	1.0000
0.9762	chp_shorttermplan2a	8992	26288	0.7000
0.9072	ringpack_20_2	6089	40368	0.3779
0.8326	ringpack_20_3	6709	45220	0.3584
0.8044	squfl015-080persp	7295	21600	1.0000
0.7681	pooling_sppa9tp	5040	121302	0.1602
0.6839	emfl100_3_3	6885	15948	1.0000
0.5505	qapw	705	87496	1.0000
0.4955	knp5-44	2157	32604	1.0000
0.4497	knp5-43	2065	31132	1.0000
0.4334	pooling_sppa9pq	5030	120730	0.6340
0.3983	qap	255	43748	0.9599
0.3687	meanvar-orl400_05_e_7	5205	174804	0.9999
0.3449	qspp_0_14_0_1_10_1	560	120274	0.9937
0.3410	meanvar-orl400_05_e_8	4405	171604	1.0000
0.3103	qspp_0_11_0_1_10_1	341	44264	0.9911
0.3093	qspp_0_13_0_1_10_1	481	88522	0.9931
0.2741	maxcsp-ehi-85-297-71	2372	207996	0.8040
0.2298	watercontamination0303r	1310	37028	1.0000
0.0003	polygon75	5846	49652	1.0000
matrices under 0.010s: 1/29
