--- every order() call, slowest first (TSV) ---
secs	matrix	n	nnz	ratio
1.3334	rsyn0840m04m	8508	24272	0.8040
1.2388	arki0016	7993	37208	0.9508
1.1367	mpbp_15	9858	31692	0.7772
1.1157	crudeoil_lee2_06	6418	34646	0.6817
1.0997	rsyn0830m04m	7252	20752	0.8085
1.0746	rsyn0820m04m	6028	17372	0.7758
1.0617	mpbp_07	9532	30810	0.9120
0.7789	chp_shorttermplan2a	8992	26288	0.7000
0.6443	pooling_sppa9tp	5040	121302	0.1613
0.6179	syn40m04hfsg	6328	16896	0.9645
0.5723	sonet21v6	8232	40744	0.9650
0.5329	ringpack_20_2	6089	40368	0.3779
0.4932	ringpack_20_3	6709	45220	0.3584
0.4515	squfl020-150	9170	24000	1.0000
0.4146	qapw	705	87496	1.0000
0.3393	pooling_sppa9pq	5030	120730	0.6340
0.3068	qspp_0_14_0_1_10_1	560	120274	0.9950
0.2845	squfl015-080persp	7295	21600	1.0000
0.2676	maxcsp-ehi-85-297-71	2372	207996	0.8040
0.2664	meanvar-orl400_05_e_8	4405	171604	1.0000
0.2641	emfl100_3_3	6885	15948	1.0000
0.2547	qspp_0_13_0_1_10_1	481	88522	0.9948
0.2362	knp5-44	2157	32604	1.0000
0.2290	qspp_0_11_0_1_10_1	341	44264	0.9911
0.2261	knp5-43	2065	31132	1.0000
0.2222	meanvar-orl400_05_e_7	5205	174804	0.9998
0.1944	qap	255	43748	0.9599
0.1242	watercontamination0303r	1310	37028	1.0000
0.0002	polygon75	5846	49652	1.0000
matrices under 0.010s: 1/29
